keyword,count
antioxidantes naturales,0
anthocyanins,0
antocianinas,0
apiculture,0
apicultura,0
biostimulation,0
bioestimulación,0
l-ribonucleic acid aptamer,0
aptámero del ácido l-ribonucleico,0
harmony with nature,24
armonía con la naturaleza,2
biofabrication,0
biofabricación,0
biofunctionalisation,0
biofuncionalización,0
archaeobotany,0
arqueobotánica,0
sustainable architecture,4
arquitectura sostenible,0
bacteria,0
bacterias,0
biohydrometallurgy,0
biohidrometalurgia,0
bioinformatics,8
bioinformática,0
bioinstrumentation,0
bioinstrumentación,0
molecular cell biology,0
biología celular molecular,0
nature based,169
basado en la naturaleza,2
ncbi database,0
base de datos ncbi,0
green waste,3
basura orgánica,0
engineering biology,51
biología de la ingeniería,10
ecological goods and services,0
bienes y servicios ecológicos.,0
molecular biology,342
biología molecular,2
plant molecular biology,0
biología molecular vegetal,0
bioacoustics,0
bioacústica,0
biochar,2
biocarbón,0
synthetic biology,1
biología sintética,0
polymeric biomaterials,0
biomateriales poliméricos,0
bioscience,67
biociencia,0
biofuel,0
biocombustible,0
biocompatibility,0
biocompatibilidad,0
bionanotechnology,0
bionanotecnología,0
bioprospecting,0
bioprospección,0
microbial biodegradation,0
biodegradación microbiana,0
biodiesel,0
biodiésel,0
biodigestate,0
biodigestato,0
biodigestates,0
biodigestatos,0
biodiversity,36
biodiversidad,14
agricultural biodiversity,3
biodiversidad agrícola,2
plant biodiversity,0
biodiversidad vegetal,0
bioeconomy,2
bioeconomía,0
bioelectronics,0
bioelectrónica,0
bioenergy,0
bioenergía,0
biostatistics,20
bioestadística,1
bioprospection,0
bioethics,0
bioética,0
bioreactor,1
biorreactor,0
biomanufacturing,0
biopharmaceutical,9
biofarmacéutico,0
biofertilizers,0
biofertilizantes,0
biophysics,0
biofísica,0
biohydrogen,0
biohidrógeno,0
biorefining,0
biorrefinación,0
biorefinery,0
biorrefinería,0
next generation bio-refineries,0
biorrefinerías de próxima generación,0
bioinputs,0
bioinsumos,1
biolegend,0
bioleyenda,0
bioleaching,0
biolixiviación,0
biology,224
biología,53
applied biology,0
biología aplicada,1
bioremediation,0
biorremediación,0
combinatorial biology,0
biología combinatoria,0
computational biology,0
biología computacional,0
conservation biology,6
biología de la conservación,0
biology of aquatic ecology,5
biología de la ecología acuática.,0
environmental bioremediation,0
biorremediación ambiental,0
reproduction biology,1
biología de la reproducción,0
fish biology,0
biología de los peces,0
systems biology,0
biologia de sistemas,4
complex systems biology,0
biología de sistemas complejos,0
soil biology,0
biología del suelo,0
floral biology,0
biología floral,0
forest biology,1
biología forestal,5
fungal biology,0
biología fúngica,0
in situ bioremediation,0
biorremediación in situ,0
microbial molecular biology,0
biología molecular microbiana,0
photonic biosensors,0
biosensores fotónicos,0
reproductive biology,0
biología reproductiva,0
plant reproductive biology,0
biología reproductiva vegetal,0
bioseparation,0
bioseparación,0
plant biology,1
biología vegetal,0
biomagnetics,0
biomagnética,0
biomarker,0
biomarcador,0
biomarkers,0
biomarcadores,0
biomass,3
biomasa,5
biomaterials,1
biomateriales,1
biosurfactant,0
biosurfactante,0
biomechanics,12
biomecánica,5
biomedicine,1
biomedicina,2
biomethane,0
biometano,0
biomimetics,0
biomimética,0
biomimetic,0
biomimético,0
biomimicry,0
biomimetismo,0
environmental biotechnology,0
biotecnología ambiental,1
bionics,0
biónica,1
biopesticide,0
biopesticida,0
microbial biopesticides,0
biopesticidas microbianos,0
biopiracy,0
biopiratería,0
bioplastics,0
bioplásticos,0
biopolymerisation,0
biopolimerización,0
biopolymers,0
biopolímeros,0
bioprocessor,0
bioprocesador,0
bioprocess,0
bioproceso,0
bioproducts,0
bioproductos,1
animal biotechnology,2
biotecnología animal,1
fermentation biotechnology,1
biotecnología de fermentación,0
biochemistry,46
bioquímica,16
analytical biochemistry,0
bioquímica analítica,1
animal biochemistry,0
bioquímica animal,0
protein biochemistry,0
bioquímica de proteínas,1
plant biochemistry,0
bioquímica vegetal,0
biochemicals,0
bioquímicos,0
mushroom biotechnology,0
biotecnología de hongos,0
industrial biotechnology,19
biotecnología industrial,1
algae bioreactor,0
biorreactor de algas,0
plant biotechnology,0
biotecnología vegetal,0
biotransducer,0
biotransductor,0
biotransformation,0
biotransformación,0
biovalorization,0
biovalorización,0
good laboratory practice (glp),0
buenas prácticas de laboratorio (bpl),8
enzymatic catalysis,0
catálisis enzimática,0
biorobotics,0
biorrobótica,0
livestock biosecurity,0
bioseguridad ganadera,0
life sciences,89
ciencias de la vida,194
reaction kinetics,6
cinética de reacción,0
cytogenetics,0
citogenética,0
biosimilar,0
biosynthesis,0
biosíntesis,0
flow cytometry,0
citometría de flujo,0
biotechnology,235
biotecnología,14
agricultural biotechnology,1
biotecnología agrícola,0
cloning,0
clonación,3
molecular cloning,1
clonación molecular,0
in vitro compartmentalization,0
compartimentación in vitro,0
bioactive compounds,0
compuestos bioactivos,0
forest biotechnology,0
biotecnología forestal,0
bacterial conjugation,0
conjugación bacteriana,0
microbial biotechnology,0
biotecnología microbiana,0
biological control,1
control biológico,1
conversion of biomass,0
conversión de biomasa,0
crispr,0
chromatography,44
cromatografía,19
liquid chromatography,0
cromatografía líquida,4
botany,1
botánica,0
good agricultural practices,2
buenas prácticas agrícolas,10
high-performance liquid chromatography (hplc),0
cromatografía líquida de alto rendimiento (hplc),0
supply chain,1
cadena de suministro,342
food quality,96
calidad de la comida,61
water quality,46
calidad del agua,35
aquaculture water quality,1
calidad del agua para la acuicultura,0
callus,0
callo,0
climate change,68
cambio climático,19
cultured meat,0
carne cultivada,0
cell culture,55
cultivo de células,0
fertiliser catalysts,0
catalizadores de fertilizantes,0
microbial electrolysis cell,0
celda de electrólisis microbiana,0
adult stem cell,0
célula madre adulta,0
stem cells,1
células madre,1
embryonic stem cell,0
células madre embrionarias,0
induced stem cells,0
células madre inducidas,0
coal ash,0
ceniza de carbón,3
wood ash,0
ceniza de madera,0
sustainable certification,41
certificación sostenible,36
bacterial cell culture,0
cultivo de células bacterianas,0
axenic culture,0
cultura axénica,0
biomedical science,1
ciencia biomedica,0
biomaterial science,0
ciencia de biomateriales,0
food science,112
ciencia de los alimentos,8
medical science,21
ciencia médica,29
botanical data,0
datos botánicos,0
molecular diagnostics,1
diagnóstico molecular,0
circularity,2
circularidad,2
circles of sustainability,0
círculos de sostenibilidad,0
molecular dynamics,0
dinámica molecular,0
bioreactor design,0
diseño de biorreactor,0
cytotoxicity,0
citotoxicidad,0
rational design,5
diseño racional,7
genetic diversity,178
diversidad genetica,37
ecobiotechnology,0
ecobiotecnología,0
2 base encoding,0
codificación de 2 bases,9
behavioral ecology,0
ecología del comportamiento,0
phytoplankton ecology,0
ecología del fitoplancton,0
biodiesel fuel,0
combustible biodiésel,0
carbon-neutral fuel,2
combustible neutro en carbono,0
functional food,58
comida funcional,0
fishfood,0
comida para pez,0
bio-based economy,0
economía de base biológica,0
food products composition,0
composición de productos alimenticios.,0
chemical composition of sugar,0
composición química del azúcar.,0
compost,2
choice editing,6
edición de elección,0
biological computing,0
computación biológica,0
sustainable community,93
comunidad sostenible,22
gene editing,0
edición de genes,0
crispr gene editing,0
edición de genes crispr,0
antibody-drug conjugate,0
conjugado anticuerpo-fármaco,0
antibody-oligonucleotide conjugate,0
conjugado anticuerpo-oligonucleótido,0
conservation,31
conservación,139
biological conservation,0
conservación biológica,0
forest conservation,0
conservación de bosques,5
crop conserving,0
conservación de cultivos,2
biodiversity conservation,18
conservación de la biodiversidad,10
food preservation,4
conservación de los alimentos,26
natural resources conservation,4
conservación de recursos naturales,1
wildlife conservation,4
conservacion de vida salvaje,0
soil conservation,0
conservacion del suelo,2
soil and water conservation,0
conservación del suelo y el agua,0
nature conservation,14
conservación natural,6
genome editing,0
edición del genoma,0
sustainable construction,0
construcción sostenible,60
green consumption,0
consumo verde,2
environmental pollution,5
contaminación ambiental,4
prime editing,2
edición principal,7
biological control of plant diseases,0
control biológico de enfermedades de las plantas.,0
process control,269
control de procesos,836
biomass conversion,0
green building,23
edificio verde,0
michigan life sciences corridor,0
corredor de ciencias biológicas de michigan,0
plant harvesting,0
cosecha de plantas,1
clean growth,217
crecimiento limpio,82
animal breeding,0
cría de animales,0
mutation breeding,0
cría por mutación,0
selective breeding,0
crianza selectiva,0
induced-charge electrokinetics,0
electrocinética de carga inducida,0
electrophoresis,0
electroforesis,0
gel electrophoresis,85
electroforesis en gel,0
electroporation,0
electroporación,0
inclusion bodies,6
cuerpos de inclusión,0
conservation issues,34
cuestiones de conservación,0
cultivate crops for biomass,0
cultivar cultivos para biomasa.,0
grow crops for biomass,0
somatic embryogenesis,0
embriogénesis somática,0
3d cell culturing by magnetic levitation,0
cultivo de células 3d por levitación magnética,0
impalefection,0
empalamiento,0
maggot farming,0
cultivo de gusanos,0
microbial culture,0
cultivo microbiano,0
crop growing for biomass,0
cultivo para biomasa,0
microbial food cultures,0
cultivos alimentarios microbianos.,0
industrial crops,2
cultivos industriales,1
genetically modified crops,0
cultivos modificados genéticamente,0
crops growing for biomass,0
cultivos para biomasa,0
in vitro assays,0
ensayos in vitro,0
in vivo assays,0
ensayos in vivo,0
restriction enzyme,0
enzima restrictiva,0
biobased,0
de base biológica,0
dendrosome,0
dendrosoma,0
enzymes,0
enzimas,0
develop agricultural policies,7
desarrollar políticas agrícolas,1
enzymology,0
enzimología,0
agricultural development,87
desarrollo agrícola,26
biopesticide development,0
desarrollo de bioplaguicidas,0
bioprocess development,1
desarrollo de bioprocesos,0
bioproduct development,0
desarrollo de bioproductos,1
bioproducts development,0
eco-industrial development,6
desarrollo ecoindustrial,0
ecologically sustainable development,0
desarrollo ecológicamente sostenible,0
sustainable economic development,15
desarrollo económico sostenible,20
pharmaceutical development,1
desarrollo farmaceutico,350
regional development,82
desarrollo regional,200
sustainable regional development,10
desarrollo regional sostenible,19
rural development,60
desarrollo rural,13
sustainable rural development,4
desarrollo rural sostenible,7
systemic development,19
desarrollo sistémico,6
sustainable development,126
desarrollo sostenible,279
fragment-based lead discovery,0
descubrimiento de clientes potenciales basado en fragmentos,0
food waste,7
desechos alimentarios,0
marine debris,0
desechos marinos,0
food loss waste,0
desperdicio de comida,0
silk waste,0
desperdicios de seda,0
distillation,2
destilación,2
determine process optimisation,0
determinar la optimización del proceso.,3
greenhouse debt,1
deuda de efecto invernadero,0
epigenomics,0
epigenómica,0
anaerobic digestion,0
digestión anaeróbica,0
anaerobic digester,0
digestor anaeróbico,0
pilot scale,18
escala piloto,0
structural dynamics,0
dinámica estructural,0
spectrometry,0
espectrometría,3
mass spectrometry,16
espectrometría de masas,0
engineering design,985
diseño de ingeniería,728
product design,1
diseño de producto,158
design biomass system,0
diseño de sistema de biomasa.,0
protein mass spectrometry,0
espectrometría de masas de proteínas,0
algal diversity,0
diversidad de algas,0
diversity of ecosystems,32
diversidad de ecosistemas,3
species diversity,0
diversidad de especies,0
ethnobotany,0
etnobotánica,0
microbial diversity,0
diversidad microbiana,0
crop diversification,3
diversificación de cultivos,1
environmental impact assessment,68
evaluación de impacto ambiental,4
duocarmycin,0
duocarmicina,0
protein expression,0
expresión de proteínas,0
ecology,152
ecología,11
aquatic ecology,4
ecología acuática,0
community ecology,0
ecología comunitaria,0
ecosystem ecology,0
ecología de ecosistemas,1
fungal ecology,0
ecología de hongos,0
conservation ecology,1
ecología de la conservación,0
fish ecology,0
ecología de peces,0
recombinant protein expression,0
expresión de proteínas recombinantes,0
heterologous expression,0
expresión heteróloga,0
forest ecology,0
ecología forestal,4
microbial ecology,0
ecología microbiana,0
plant ecology,0
ecología vegetal,0
applied econometrics,0
econometría aplicada,0
agricultural economics,1
economía agrícola,10
applied economics,5
economía aplicada,0
low-carbon economy,1
economía baja en carbono,1
circular economy,9
economía circular,12
extraction,61
extracción,92
economics of agriculture,12
economía de la agricultura,4
ecological economics,0
economía ecológica,0
extracting fatty acid,0
extracción de ácidos grasos,0
ecourbanism,0
ecourbanismo,0
dna extraction,68
extracción de adn,0
extraction of bioactive compounds,0
extracción de compuestos bioactivos,0
extract fatty acid,0
extraer ácido graso,0
leaper gene editing,0
edición del gen leaper,0
extremophiles,0
extremófilos,0
fermentation,3
fermentación,1
lab scale fermentation,0
fermentación a escala de laboratorio,0
production scale fermentation,0
fermentación a escala de producción.,0
rebound effect in conservation,0
efecto rebote en la conservación,0
energy efficiency,95
eficiencia energética,36
livestock efficiency,0
eficiencia ganadera,0
yeast fermentation,1
fermentación de levadura,1
soil improvement,1
el mejoramiento del suelo,0
sustainable tourism,3
el turismo sostenible,3
waste management processes devising,0
elaboración de procesos de gestión de residuos.,3
solid state fermentation,0
fermentación en estado sólido,0
industrial fermentation,1
fermentación industrial,0
phytochemistry,0
fitoquímica,0
electrohydrogenesis,0
electrohidrogénesis,0
electromethanogenesis,0
electrometanogénesis,0
phytoremediation,0
fitorremediación,0
microbial electrosynthesis,0
electrosíntesis microbiana,0
feed formulation,1
formulación de piensos,0
biochemical waste disposal,0
eliminación de residuos bioquímicos,0
phosphoproteomics,0
fosfoproteómica,0
net-carbon zero emission,0
emisiones netas de carbono cero,4
photobiology,0
fotobiología,0
green jobs,56
empleos verdes,0
photophysics,0
fotofísica,0
photosynthesis,0
fotosíntesis,0
intron-encoded endonuclease i-scei,0
endonucleasa i-scei codificada por intrón,0
biogas energy,1
energía de biogás,1
clean energy,14
energia limpia,14
energy for sustainable development,0
energía para el desarrollo sostenible,31
sustainable energy,48
energía sostenible,68
fungiculture,0
fungicultura,0
somatic fusion,0
fusión somática,0
genetics,164
genética,68
quantitative genetics,0
genética cuantitativa,0
entomology,0
entomología,0
agricultural entomology,0
entomología agrícola,0
fungal genetics,0
genética de hongos,0
population genetics,0
genética de poblaciones,6
intracellular delivery,0
entrega intracelular,0
rice genetics,0
genética del arroz,0
molecular genetics,1
genética molecular,0
plant genetics,0
genética vegetal,0
genomics,2
genómica,0
genotyping,0
genotipado,0
genotyping by sequencing,0
genotipado por secuenciación,0
enzymatic hydrolysis,0
hidrólisis encimática,0
filamentous fungi,0
hongos filamentosos,0
molecular identification,0
identificación molecular,0
scientific writing,35
escritura científica,0
electromagnetic spectrum,0
espectro electromagnético,0
spectrophotometry,6
espectrofotometría,3
biomolecular engineering,0
ingeniería biomolecular,0
biochemical engineering,2
ingeniería bioquímica,5
biotechnological engineering,0
ingeniería biotecnológica,0
spectroscopy,26
espectroscopia,1
agricultural statistics,0
estadísticas agrícolas,0
sustainability standards and certification,11
estándares y certificación de sostenibilidad.,3
aquaculture ponds,0
estanques de acuicultura,0
manure aquaculture ponds,0
estanques de acuicultura con estiércol,0
pond manuring in aquaculture,0
estiércol de estanques en acuicultura,0
macro-regional strategy,2
estrategia macrorregional,0
aquaculture strategies developing,1
estrategias de acuicultura en desarrollo,0
irrigation strategies,2
estrategias de riego,1
strategies for aquaculture,1
estrategias para la acuicultura,0
biomaterial engineering,0
ingeniería de biomateriales,1
protein structure,0
estructura de la proteína,0
protein engineering,0
ingeniería de proteínas,0
feasibility study on biogas energy,0
estudio de viabilidad sobre la energía del biogás,0
environmental studies,15
estudios ambientales,18
biochemical reaction engineering,0
ingeniería de reacción bioquímica,0
genetic engineering,24
ingeniería genética,16
impact assessment,30
evaluación de impacto,81
metabolic engineering,0
ingeniería metabólica,0
biodiversity assessment,5
evaluación de la biodiversidad,4
growth rate assessing of cultivated fish species,0
evaluación de la tasa de crecimiento de especies de peces cultivadas.,0
assessing fish samples for diagnosis,0
evaluación de muestras de peces para diagnóstico.,0
life cycle assessment,3
evaluación del ciclo de vida,27
feeding behaviour of larvae assessing,0
evaluación del comportamiento alimentario de las larvas.,0
aquaculture environmental impact assessing,1
evaluación del impacto ambiental de la acuicultura,0
assess system performance,44
evaluar el rendimiento del sistema,8
assess production costs,1
evaluar los costos de producción.,11
biological inoculants,0
inoculantes biológicos,0
gene expression,0
la expresion genica,0
lipidomics,0
lipidómica,0
lipoproteins,0
lipoproteínas,0
mammals,1
mamíferos,0
molecular markers,1
marcadores moleculares,1
environmental friendly materials,1
materiales amigables con el medio ambiente,0
nanostructured materials,0
materiales nanoestructurados,0
polymeric materials,0
materiales poliméricos,1
molecular plant breeding,0
mejoramiento de plantas moleculares,0
molecular breeding,0
mejoramiento molecular,0
pharmaceutics,817
farmacia,558
pharmacokinetics,0
farmacocinética,0
pharmacogenetics,0
farmacogenética,0
pharmacogenomics,0
farmacogenómica,0
pharmacognosy,0
farmacognosia,0
plant breeding,0
mejoramiento vegetal,0
secondary metabolites,0
metabolitos secundarios,0
metabolomics,0
metabolómica,0
metagenomics,0
metagenómica,0
mycoremediation,0
micoremediación,0
general microbiology,11
microbiología general,4
molecular microbiology,0
microbiología molecular,0
microbial fermentation,0
fermentación microbiana,0
fertility of soil,4
fertilidad del suelo,0
soil fertility,9
fertilizers,33
fertilizantes,28
microfluidics,0
microfluidos,0
phycotechnology,0
ficotecnología,0
blended finance,7
finanzas mixtas,2
digital microfluidics,0
microfluidos digitales,0
microinjection,0
microinyección,0
phytotechnology,0
fitotecnología,0
flavonoids,0
flavonoides,0
microorganisms,0
microorganismos,2
microcarrier,0
microportador,0
pharmaceutical formulation,5
formulación farmacéutica,15
micropropagation,0
micropropagación,0
fluorescence microscopy,1
microscopio fluorescente,0
kinetic modeling,0
modelado cinético,0
nanobiotechnology,0
nanobiotecnología,0
nanoscience,0
nanociencia,0
nanofabrication,0
nanofabricación,0
nanomaterials,2
nanomateriales,0
nanoneuronics,0
nanoneurónica,0
animal genetics,0
genética animal,0
nanoparticles,0
nanopartículas,0
nanotechnology,3
nanotecnología,1
omics,0
ómicas,3
ngos,69
ong,40
pcr,140
polymers,27
polímeros,9
genexpert infinity,0
genexperto infinito,0
biodegradable polymers,0
polímeros biodegradables,0
protein precipitation,0
precipitación de proteínas,0
animal genomics,0
genómica animal,0
enzymatic preparation,0
preparación enzimática,0
probiotics,0
probióticos,0
drying procedures,1
procedimientos de secado,4
upstream processing,2
procesamiento ascendente,0
environmental management,68
gestión ambiental,162
forest management,7
gestión de bosques,8
engineering management,736
gestión de ingeniería,1
supply chain management,1
gestión de la cadena de suministro,110
quality management,1
gestión de la calidad,845
innovation management,159
gestión de la innovación,298
production management,205
gestión de la producción,161
sustainability management,180
gestión de la sostenibilidad,114
laboratory management,27
gestión de laboratorio,154
nutrient management,1
gestión de nutrientes,2
water resources management,8
gestión de recursos hídricos,1
natural resource management,15
gestión de recursos naturales,9
managing waste,9
gestión de residuos,82
waste management,9
sustainable supply management,0
gestión de suministros sostenibles,3
yield management,68
gestión del rendimiento,466
fishery management,0
gestión pesquera,1
fish harvest methods,0
métodos de captura de peces,0
sustainable management,66
gestión sostenible,181
sustainable management of resources,16
gestión sostenible de los recursos.,39
manage fishery using biological knowledge,0
gestionar la pesca utilizando el conocimiento biológico,0
environmental governance,32
gobernanza ambiental,5
healthy farm,2
granja saludable,0
laboratory skills,943
habilidades de laboratorio,65
herpetology,0
herpetología,0
downstream processing,2
procesamiento en bajada,0
enzymatic processing,0
procesamiento enzimático,0
fungi,0
hongos,1
enzyme processing,0
horticulture,1
horticultura,0
product environmental footprint,0
huella ambiental del producto,1
fermentation process,1
proceso de fermentación,0
biochemical processes,0
procesos bioquímicos,0
identify the environmental impact of specific aquaculture activity,0
identificar el impacto ambiental de una actividad acuícola específica.,0
identifying the impact of specific aquaculture activity,0
identificar el impacto de una actividad acuícola específica,0
identifying characteristics of crops,0
identificar las características de los cultivos.,1
protein production,2
producción de proteínas,1
global warming impact,0
impacto del calentamiento global,0
environmental impact,126
impacto medioambiental,7
biochemical products,0
productos bioquímicos,0
sustainable industries,0
industrias sustentables,1
reporting harvested fish production,0
informar la producción de pescado cosechado,0
sustainability reporting,34
informes de sostenibilidad,45
host cell protein,0
proteína de la célula huésped,0
single-cell protein,0
proteína unicelular,0
recombinant proteins,0
proteínas recombinantes,0
wastewater engineering,7
ingeniería de aguas residuales,5
food engineering,128
ingeniería de alimentos,353
proteomics,0
proteómica,0
bioprocess engineering,396
ingeniería de bioprocesos,0
bioproducts engineering,0
ingeniería de bioproductos,1
design engineering,1
ingeniería de diseño,793
production engineering,197
ingeniería de producción,373
product engineering,709
ingeniería de producto,192
biomaterials testing,0
pruebas de biomateriales,0
genomic testing,0
pruebas genómicas,1
tissue engineering,0
ingeniería de tejidos,1
protein purification,6
purificación de proteínas,0
bioinorganic chemistry,0
química bioinorgánica,0
chemical engineering,221
ingeniería química,163
polymerase chain reaction,0
reacción en cadena de la polimerasa,0
immunoscreening,0
inmunodetección,0
cancer immunotherapy,0
inmunoterapia contra el cáncer,0
business innovation,655
innovación empresarial,1
polymerase chain reaction (pcr),0
reacción en cadena de la polimerasa (pcr),0
biogas installations,0
instalaciones de biogás,0
biomass installations,0
instalaciones de biomasa,0
biomedical instrumentation,0
instrumentación biomédica,2
analytical chemistry instrumentation,1
instrumentación de química analítica,1
sustainable intensification,0
intensificación sostenible,0
reverse transcription polymerase chain reaction,0
reacción en cadena de la polimerasa con transcripción inversa,0
real-time polymerase chain reaction (qpcr),0
reacción en cadena de la polimerasa en tiempo real (qpcr),0
microbial interactions,0
interacciones microbianas,0
strategic sustainable investing,1
inversión estratégica sostenible,3
rural investment,2
inversión rural,4
investigation,430
investigación,755
laboratory investigation,15
investigación de laboratorio,32
rural research,187
investigación rural,3
research and development,464
investigación y desarrollo,234
biochemical reactors,0
reactores bioquímicos,0
operations management,1
jefe de operaciones,180
dna sequencing,0
secuenciación del adn,0
genome sequencing,1
secuenciación del genoma,0
food production,16
la producción de alimentos,829
crop production,128
la producción de cultivos,65
crop rotation,0
la rotación de cultivos,0
medical laboratory,2
laboratorio médico,25
sonoporation,0
sonoporación,0
sustainable tillage,0
labranza sostenible,0
subcloning,0
subclonación,0
basic molecular biology techniques,0
técnicas básicas de biología molecular,0
biotechnological techniques,0
técnicas biotecnológicas,0
molecular biological techniques,0
técnicas de biología molecular,1
laboratory-based techniques,0
técnicas de laboratorio,69
in vitro techniques,1
técnicas in vitro,0
fermentation technology,0
tecnología de fermentación,0
assisted reproductive technology,0
tecnología de reproducción asistida,0
post harvest technology,0
tecnología poscosecha,0
rna therapeutics,0
terapéutica de arn,0
bacterial therapy,0
terapia bacteriana,0
nucleic acid thermodynamics,0
termodinámica del ácido nucleico.,0
transcriptomics,4
transcriptómica,0
single-cell transcriptomics,0
transcriptómica unicelular,0
transfection,0
transfección,0
transfer dna,6
transferir adn,0
transposon,0
transposón,0
biocatalytic processes,0
usando procesos biocatalíticos,0
expression vector,0
vector de expresión,0
coal slurry,0
lodo de carbón,0
farming methods,0
los métodos de cultivo,2
macroeconomics,9
macroeconómica,3
xenobiology,0
xenobiología,0
crop management,8
manejo de cultivos,32
handling biochemical wastes,0
manejo de desechos bioquímicos,0
health management,225
manejo de la salud,250
sustainable forest management,1
manejo forestal sostenible,2
livestock management,2
manejo ganadero,1
integrated disease management,0
manejo integrado de enfermedades,1
integrated pest management,12
manejo integrado de plagas,14
equipment maintenance,737
mantenimiento de equipo,1
aquaculture pond maintaining,0
mantenimiento de estanques de acuicultura,0
biogas plant maintaining,0
mantenimiento de plantas de biogás.,0
sequencing,14
secuenciación,0
hachimoji dna,0
adn de hachimoji,0
dna ligase,0
adn ligasa,0
bioinstructive material,0
material bioinstructivo,0
recombinase polymerase amplification,0
amplificación de la recombinasa polimerasa,0
helicase-dependent amplification,0
amplificación dependiente de helicasa,0
ribosomal intergenic spacer analysis,0
análisis del espaciador intergénico ribosómico.,0
matlab,1
analyse cell cultures,0
analizar cultivos celulares.,0
photo-reactive amino acid analog,0
análogo de aminoácido fotorreactivo,0
starch production mechanisms,0
mecanismos de producción de almidón.,0
specialty drugs,0
medicamentos especializados,14
precision medicine,0
medicina de precisión,15
personalized medicine,6
medicina personalizada,2
living medicine,2
medicina viva,12
sustainability measurement,9
medición de la sostenibilidad,12
forestry measurements,0
mediciones forestales,0
long non-coding rna,0
arn largo no codificante,0
biogas meter,0
medidor de biogás,0
operating biogas meter,0
medidor de biogás en funcionamiento,0
sustainable livelihood,2
medios de vida sostenibles,49
tumor-homing bacteria,0
bacterias que se dirigen a los tumores,0
optimization,944
mejoramiento,468
dna-encoded chemical library,0
biblioteca química codificada por adn,0
biochip,0
moss bioreactor,0
biorreactor de musgo,0
energy market,3
mercado energético,19
sustainable markets,77
mercados sostenibles,21
fluorescent glucose biosensor,0
biosensor de glucosa fluorescente,0
chem-seq,0
metagenics,0
metagénica,0
chip sequencing,0
chip-seq,0
sustainable development goals,20
metas de desarrollo sostenible,73
plant harvest methods,0
métodos de cosecha de plantas.,0
ta cloning,0
clonación ta,0
microbiological methods,0
