,BIOEC_MMC,keywords
119,1,análisis de la cadena de valor
120,1,policy analysis
121,1,análisis de políticas
122,2,crop production analysing
123,2,análisis de producción de cultivos.
124,3,social network analysis
125,3,análisis de redes sociales
126,1,soil analysis
127,1,análisis de suelos
128,1,aptamer
129,1,aptámero
130,1,econometric analysis
131,1,análisis econométrico
132,1,economics analysis
133,1,análisis económico
134,1,statistical analysis
135,1,análisis estadístico
136,1,rna
137,1,arn
138,1,forestry analysis
139,1,análisis forestal
140,1,functional analysis
141,1,análisis funcional
142,1,lactic acid bacteria
143,1,bacterias de ácido láctico
144,1,microbiological analysis
145,1,análisis microbiológico
146,1,microbiological analysis in food
147,1,análisis microbiológico en alimentos
148,1,chemical analysis
149,1,análisis químico
150,1,bacteriology
151,1,bacteriología
152,1,bioactivity
153,1,bioactividad
154,1,biocatalysis
155,1,biocatálisis
156,1,antibiotics
157,1,antibióticos
158,1,antibody
159,1,anticuerpo
160,2,monoclonal antibody
161,2,anticuerpo monoclonal
162,1,biocontrol
163,1,biodegradation
164,1,biodegradación
165,1,antioxidants
166,1,antioxidantes
167,1,natural antioxidants
168,1,antioxidantes naturales
169,1,anthocyanins
170,1,antocianinas
171,1,apiculture
172,1,apicultura
173,1,biostimulation
174,1,bioestimulación
175,3,l-ribonucleic acid aptamer
176,3,aptámero del ácido l-ribonucleico
177,1,harmony with nature
178,1,armonía con la naturaleza
179,1,biofabrication
180,1,biofabricación
181,1,biofunctionalisation
182,1,biofuncionalización
183,1,archaeobotany
184,1,arqueobotánica
185,1,sustainable architecture
186,1,arquitectura sostenible
187,1,bacteria
188,1,bacterias
189,1,biohydrometallurgy
190,1,biohidrometalurgia
191,1,bioinformatics
192,1,bioinformática
193,1,bioinstrumentation
194,1,bioinstrumentación
195,1,molecular cell biology
196,1,biología celular molecular
197,1,nature based
198,1,basado en la naturaleza
199,3,ncbi database
200,3,base de datos ncbi
201,1,green waste
202,1,basura orgánica
203,1,engineering biology
204,1,biología de la ingeniería
205,1,ecological goods and services
206,1,bienes y servicios ecológicos.
207,1,molecular biology
208,1,biología molecular
209,1,plant molecular biology
210,1,biología molecular vegetal
211,1,bioacoustics
212,1,bioacústica
213,1,biochar
214,1,biocarbón
215,1,synthetic biology
216,1,biología sintética
217,1,polymeric biomaterials
218,1,biomateriales poliméricos
219,1,bioscience
220,1,biociencia
221,1,biofuel
222,1,biocombustible
223,1,biocompatibility
224,1,biocompatibilidad
225,1,bionanotechnology
226,1,bionanotecnología
227,1,bioprospecting
228,1,bioprospección
229,1,microbial biodegradation
230,1,biodegradación microbiana
231,1,biodiesel
232,1,biodiésel
233,1,biodigestate
234,1,biodigestato
235,1,biodigestates
236,1,biodigestatos
237,1,biodiversity
238,1,biodiversidad
239,1,agricultural biodiversity
240,1,biodiversidad agrícola
241,1,plant biodiversity
242,1,biodiversidad vegetal
243,1,bioeconomy
244,1,bioeconomía
245,1,bioelectronics
246,1,bioelectrónica
247,1,bioenergy
248,1,bioenergía
249,1,biostatistics
250,1,bioestadística
251,1,bioprospection
252,1,bioethics
253,1,bioética
254,1,bioreactor
255,1,biorreactor
256,1,biomanufacturing
257,1,biopharmaceutical
258,1,biofarmacéutico
259,1,biofertilizers
260,1,biofertilizantes
261,1,biophysics
262,1,biofísica
263,1,biohydrogen
264,1,biohidrógeno
265,1,biorefining
266,1,biorrefinación
267,1,biorefinery
268,1,biorrefinería
269,1,next generation bio-refineries
270,1,biorrefinerías de próxima generación
271,1,bioinputs
272,1,bioinsumos
273,3,biolegend
274,3,bioleyenda
275,1,bioleaching
276,1,biolixiviación
277,1,biology
278,1,biología
279,1,applied biology
280,1,biología aplicada
281,1,bioremediation
282,1,biorremediación
283,1,combinatorial biology
284,1,biología combinatoria
285,1,computational biology
286,1,biología computacional
287,1,conservation biology
288,1,biología de la conservación
289,1,biology of aquatic ecology
290,1,biología de la ecología acuática.
291,1,environmental bioremediation
292,1,biorremediación ambiental
293,1,reproduction biology
294,1,biología de la reproducción
295,1,fish biology
296,1,biología de los peces
297,1,systems biology
298,1,biologia de sistemas
299,1,complex systems biology
300,1,biología de sistemas complejos
301,1,soil biology
302,1,biología del suelo
303,1,floral biology
304,1,biología floral
305,1,forest biology
306,1,biología forestal
307,1,fungal biology
308,1,biología fúngica
309,1,in situ bioremediation
310,1,biorremediación in situ
311,1,microbial molecular biology
312,1,biología molecular microbiana
313,1,photonic biosensors
314,1,biosensores fotónicos
315,1,reproductive biology
316,1,biología reproductiva
317,1,plant reproductive biology
318,1,biología reproductiva vegetal
319,1,bioseparation
320,1,bioseparación
321,1,plant biology
322,1,biología vegetal
323,1,biomagnetics
324,1,biomagnética
325,1,biomarker
326,1,biomarcador
327,1,biomarkers
328,1,biomarcadores
329,1,biomass
330,1,biomasa
331,1,biomaterials
332,1,biomateriales
333,1,biosurfactant
334,1,biosurfactante
335,1,biomechanics
336,1,biomecánica
337,1,biomedicine
338,1,biomedicina
339,1,biomethane
340,1,biometano
341,1,biomimetics
342,1,biomimética
343,1,biomimetic
344,1,biomimético
345,1,biomimicry
346,1,biomimetismo
347,1,environmental biotechnology
348,1,biotecnología ambiental
349,1,bionics
350,1,biónica
351,1,biopesticide
352,1,biopesticida
353,1,microbial biopesticides
354,1,biopesticidas microbianos
355,1,biopiracy
356,1,biopiratería
357,1,bioplastics
358,1,bioplásticos
359,1,biopolymerisation
360,1,biopolimerización
361,1,biopolymers
362,1,biopolímeros
363,1,bioprocessor
364,1,bioprocesador
365,1,bioprocess
366,1,bioproceso
367,1,bioproducts
368,1,bioproductos
369,1,animal biotechnology
370,1,biotecnología animal
371,1,fermentation biotechnology
372,1,biotecnología de fermentación
373,1,biochemistry
374,1,bioquímica
375,1,analytical biochemistry
376,1,bioquímica analítica
377,1,animal biochemistry
378,1,bioquímica animal
379,1,protein biochemistry
380,1,bioquímica de proteínas
381,1,plant biochemistry
382,1,bioquímica vegetal
383,1,biochemicals
384,1,bioquímicos
385,1,mushroom biotechnology
386,1,biotecnología de hongos
387,1,industrial biotechnology
388,1,biotecnología industrial
389,2,algae bioreactor
390,2,biorreactor de algas
391,1,plant biotechnology
392,1,biotecnología vegetal
393,1,biotransducer
394,1,biotransductor
395,1,biotransformation
396,1,biotransformación
397,1,biovalorization
398,1,biovalorización
399,1,good laboratory practice (glp)
400,1,buenas prácticas de laboratorio (bpl)
401,1,enzymatic catalysis
402,1,catálisis enzimática
403,1,biorobotics
404,1,biorrobótica
405,1,livestock biosecurity
406,1,bioseguridad ganadera
407,1,life sciences
408,1,ciencias de la vida
409,1,reaction kinetics
410,1,cinética de reacción
411,1,cytogenetics
412,1,citogenética
413,1,biosimilar
414,1,biosynthesis
415,1,biosíntesis
416,1,flow cytometry
417,1,citometría de flujo
418,1,biotechnology
419,1,biotecnología
420,1,agricultural biotechnology
421,1,biotecnología agrícola
422,1,cloning
423,1,clonación
424,1,molecular cloning
425,1,clonación molecular
426,1,in vitro compartmentalization
427,1,compartimentación in vitro
428,1,bioactive compounds
429,1,compuestos bioactivos
430,1,forest biotechnology
431,1,biotecnología forestal
432,1,bacterial conjugation
433,1,conjugación bacteriana
434,1,microbial biotechnology
435,1,biotecnología microbiana
436,1,biological control
437,1,control biológico
438,1,conversion of biomass
439,1,conversión de biomasa
440,1,crispr
441,1,chromatography
442,1,cromatografía
443,1,liquid chromatography
444,1,cromatografía líquida
445,1,botany
446,1,botánica
447,1,good agricultural practices
448,1,buenas prácticas agrícolas
449,1,high-performance liquid chromatography (hplc)
450,1,cromatografía líquida de alto rendimiento (hplc)
451,1,supply chain
452,1,cadena de suministro
453,1,food quality
454,1,calidad de la comida
455,1,water quality
456,1,calidad del agua
457,1,aquaculture water quality
458,1,calidad del agua para la acuicultura
459,2,callus
460,2,callo
461,1,climate change
462,1,cambio climático
463,1,cultured meat
464,1,carne cultivada
465,1,cell culture
466,1,cultivo de células
467,1,fertiliser catalysts
468,1,catalizadores de fertilizantes
469,1,microbial electrolysis cell
470,1,celda de electrólisis microbiana
471,2,adult stem cell
472,2,célula madre adulta
473,1,stem cells
474,1,células madre
475,2,embryonic stem cell
476,2,células madre embrionarias
477,2,induced stem cells
478,2,células madre inducidas
479,2,coal ash
480,2,ceniza de carbón
481,1,wood ash
482,1,ceniza de madera
483,1,sustainable certification
484,1,certificación sostenible
485,1,bacterial cell culture
486,1,cultivo de células bacterianas
487,1,axenic culture
488,1,cultura axénica
489,1,biomedical science
490,1,ciencia biomedica
491,1,biomaterial science
492,1,ciencia de biomateriales
493,1,food science
494,1,ciencia de los alimentos
495,1,medical science
496,1,ciencia médica
497,1,botanical data
498,1,datos botánicos
499,1,molecular diagnostics
500,1,diagnóstico molecular
501,1,circularity
502,1,circularidad
503,1,circles of sustainability
504,1,círculos de sostenibilidad
505,1,molecular dynamics
506,1,dinámica molecular
507,1,bioreactor design
508,1,diseño de biorreactor
509,1,cytotoxicity
510,1,citotoxicidad
511,1,rational design
512,1,diseño racional
513,1,genetic diversity
514,1,diversidad genetica
515,1,ecobiotechnology
516,1,ecobiotecnología
517,3,2 base encoding
518,3,codificación de 2 bases
519,1,behavioral ecology
520,1,ecología del comportamiento
521,1,phytoplankton ecology
522,1,ecología del fitoplancton
523,2,biodiesel fuel
524,2,combustible biodiésel
525,1,carbon-neutral fuel
526,1,combustible neutro en carbono
527,1,functional food
528,1,comida funcional
529,1,fishfood
530,1,comida para pez
531,1,bio-based economy
532,1,economía de base biológica
533,1,food products composition
534,1,composición de productos alimenticios.
535,2,chemical composition of sugar
536,2,composición química del azúcar.
537,1,compost
538,1,choice editing
539,1,edición de elección
540,1,biological computing
541,1,computación biológica
542,1,sustainable community
543,1,comunidad sostenible
544,1,gene editing
545,1,edición de genes
546,1,crispr gene editing
547,1,edición de genes crispr
548,2,antibody-drug conjugate
549,2,conjugado anticuerpo-fármaco
550,2,antibody-oligonucleotide conjugate
551,2,conjugado anticuerpo-oligonucleótido
552,1,conservation
553,1,conservación
554,1,biological conservation
555,1,conservación biológica
556,1,forest conservation
557,1,conservación de bosques
558,1,crop conserving
559,1,conservación de cultivos
560,1,biodiversity conservation
561,1,conservación de la biodiversidad
562,1,food preservation
563,1,conservación de los alimentos
564,1,natural resources conservation
565,1,conservación de recursos naturales
566,1,wildlife conservation
567,1,conservacion de vida salvaje
568,1,soil conservation
569,1,conservacion del suelo
570,1,soil and water conservation
571,1,conservación del suelo y el agua
572,1,nature conservation
573,1,conservación natural
574,1,genome editing
575,1,edición del genoma
576,1,sustainable construction
577,1,construcción sostenible
578,1,green consumption
579,1,consumo verde
580,1,environmental pollution
581,1,contaminación ambiental
582,1,prime editing
583,1,edición principal
584,2,biological control of plant diseases
585,2,control biológico de enfermedades de las plantas.
586,1,process control
587,1,control de procesos
588,1,biomass conversion
589,1,green building
590,1,edificio verde
591,3,michigan life sciences corridor
592,3,corredor de ciencias biológicas de michigan
593,1,plant harvesting
594,1,cosecha de plantas
595,1,clean growth
596,1,crecimiento limpio
597,1,animal breeding
598,1,cría de animales
599,1,mutation breeding
600,1,cría por mutación
601,1,selective breeding
602,1,crianza selectiva
603,1,induced-charge electrokinetics
604,1,electrocinética de carga inducida
605,1,electrophoresis
606,1,electroforesis
607,1,gel electrophoresis
608,1,electroforesis en gel
609,1,electroporation
610,1,electroporación
611,1,inclusion bodies
612,1,cuerpos de inclusión
613,1,conservation issues
614,1,cuestiones de conservación
615,1,cultivate crops for biomass
616,1,cultivar cultivos para biomasa.
617,1,grow crops for biomass
618,1,somatic embryogenesis
619,1,embriogénesis somática
620,3,3d cell culturing by magnetic levitation
621,3,cultivo de células 3d por levitación magnética
622,1,impalefection
623,1,empalamiento
624,1,maggot farming
625,1,cultivo de gusanos
626,1,microbial culture
627,1,cultivo microbiano
628,1,crop growing for biomass
629,1,cultivo para biomasa
630,1,microbial food cultures
631,1,cultivos alimentarios microbianos.
632,1,industrial crops
633,1,cultivos industriales
634,1,genetically modified crops
635,1,cultivos modificados genéticamente
636,1,crops growing for biomass
637,1,cultivos para biomasa
638,1,in vitro assays
639,1,ensayos in vitro
640,1,in vivo assays
641,1,ensayos in vivo
642,1,restriction enzyme
643,1,enzima restrictiva
644,1,biobased
645,1,de base biológica
646,3,dendrosome
647,3,dendrosoma
648,1,enzymes
649,1,enzimas
650,1,develop agricultural policies
651,1,desarrollar políticas agrícolas
652,1,enzymology
653,1,enzimología
654,1,agricultural development
655,1,desarrollo agrícola
656,2,biopesticide development
657,2,desarrollo de bioplaguicidas
658,1,bioprocess development
659,1,desarrollo de bioprocesos
660,1,bioproduct development
661,1,desarrollo de bioproductos
662,1,bioproducts development
663,1,eco-industrial development
664,1,desarrollo ecoindustrial
665,1,ecologically sustainable development
666,1,desarrollo ecológicamente sostenible
667,1,sustainable economic development
668,1,desarrollo económico sostenible
669,1,pharmaceutical development
670,1,desarrollo farmaceutico
671,1,regional development
672,1,desarrollo regional
673,1,sustainable regional development
674,1,desarrollo regional sostenible
675,1,rural development
676,1,desarrollo rural
677,1,sustainable rural development
678,1,desarrollo rural sostenible
679,1,systemic development
680,1,desarrollo sistémico
681,1,sustainable development
682,1,desarrollo sostenible
683,3,fragment-based lead discovery
684,3,descubrimiento de clientes potenciales basado en fragmentos
685,1,food waste
686,1,desechos alimentarios
687,1,marine debris
688,1,desechos marinos
689,2,food loss waste
690,2,desperdicio de comida
691,1,silk waste
692,1,desperdicios de seda
693,1,distillation
694,1,destilación
695,1,determine process optimisation
696,1,determinar la optimización del proceso.
697,1,greenhouse debt
698,1,deuda de efecto invernadero
699,1,epigenomics
700,1,epigenómica
701,1,anaerobic digestion
702,1,digestión anaeróbica
703,2,anaerobic digester
704,2,digestor anaeróbico
705,1,pilot scale
706,1,escala piloto
707,1,structural dynamics
708,1,dinámica estructural
709,1,spectrometry
710,1,espectrometría
711,1,mass spectrometry
712,1,espectrometría de masas
713,1,engineering design
714,1,diseño de ingeniería
715,1,product design
716,1,diseño de producto
717,1,design biomass system
718,1,diseño de sistema de biomasa.
719,1,protein mass spectrometry
720,1,espectrometría de masas de proteínas
721,1,algal diversity
722,1,diversidad de algas
723,1,diversity of ecosystems
724,1,diversidad de ecosistemas
725,1,species diversity
726,1,diversidad de especies
727,1,ethnobotany
728,1,etnobotánica
729,1,microbial diversity
730,1,diversidad microbiana
731,1,crop diversification
732,1,diversificación de cultivos
733,1,environmental impact assessment
734,1,evaluación de impacto ambiental
735,3,duocarmycin
736,3,duocarmicina
737,1,protein expression
738,1,expresión de proteínas
739,1,ecology
740,1,ecología
741,1,aquatic ecology
742,1,ecología acuática
743,1,community ecology
744,1,ecología comunitaria
745,1,ecosystem ecology
746,1,ecología de ecosistemas
747,1,fungal ecology
748,1,ecología de hongos
749,1,conservation ecology
750,1,ecología de la conservación
751,1,fish ecology
752,1,ecología de peces
753,1,recombinant protein expression
754,1,expresión de proteínas recombinantes
755,1,heterologous expression
756,1,expresión heteróloga
757,1,forest ecology
758,1,ecología forestal
759,1,microbial ecology
760,1,ecología microbiana
761,1,plant ecology
762,1,ecología vegetal
763,1,applied econometrics
764,1,econometría aplicada
765,1,agricultural economics
766,1,economía agrícola
767,1,applied economics
768,1,economía aplicada
769,1,low-carbon economy
770,1,economía baja en carbono
771,1,circular economy
772,1,economía circular
773,1,extraction
774,1,extracción
775,1,economics of agriculture
776,1,economía de la agricultura
777,1,ecological economics
778,1,economía ecológica
779,1,extracting fatty acid
780,1,extracción de ácidos grasos
781,1,ecourbanism
782,1,ecourbanismo
783,1,dna extraction
784,1,extracción de adn
785,1,extraction of bioactive compounds
786,1,extracción de compuestos bioactivos
787,1,extract fatty acid
788,1,extraer ácido graso
789,2,leaper gene editing
790,2,edición del gen leaper
791,1,extremophiles
792,1,extremófilos
793,1,fermentation
794,1,fermentación
795,1,lab scale fermentation
796,1,fermentación a escala de laboratorio
797,1,production scale fermentation
798,1,fermentación a escala de producción.
799,1,rebound effect in conservation
800,1,efecto rebote en la conservación
801,1,energy efficiency
802,1,eficiencia energética
803,1,livestock efficiency
804,1,eficiencia ganadera
805,1,yeast fermentation
806,1,fermentación de levadura
807,1,soil improvement
808,1,el mejoramiento del suelo
809,1,sustainable tourism
810,1,el turismo sostenible
811,2,waste management processes devising
812,2,elaboración de procesos de gestión de residuos.
813,1,solid state fermentation
814,1,fermentación en estado sólido
815,1,industrial fermentation
816,1,fermentación industrial
817,1,phytochemistry
818,1,fitoquímica
819,1,electrohydrogenesis
820,1,electrohidrogénesis
821,1,electromethanogenesis
822,1,electrometanogénesis
823,1,phytoremediation
824,1,fitorremediación
825,1,microbial electrosynthesis
826,1,electrosíntesis microbiana
827,1,feed formulation
828,1,formulación de piensos
829,1,biochemical waste disposal
830,1,eliminación de residuos bioquímicos
831,1,phosphoproteomics
832,1,fosfoproteómica
833,1,net-carbon zero emission
834,1,emisiones netas de carbono cero
835,1,photobiology
836,1,fotobiología
837,1,green jobs
838,1,empleos verdes
839,1,photophysics
840,1,fotofísica
841,1,photosynthesis
842,1,fotosíntesis
843,3,intron-encoded endonuclease i-scei
844,3,endonucleasa i-scei codificada por intrón
845,1,biogas energy
846,1,energía de biogás
847,1,clean energy
848,1,energia limpia
849,1,energy for sustainable development
850,1,energía para el desarrollo sostenible
851,1,sustainable energy
852,1,energía sostenible
853,1,fungiculture
854,1,fungicultura
855,1,somatic fusion
856,1,fusión somática
857,1,genetics
858,1,genética
859,1,quantitative genetics
860,1,genética cuantitativa
861,1,entomology
862,1,entomología
863,2,agricultural entomology
864,2,entomología agrícola
865,1,fungal genetics
866,1,genética de hongos
867,1,population genetics
868,1,genética de poblaciones
869,1,intracellular delivery
870,1,entrega intracelular
871,1,rice genetics
872,1,genética del arroz
873,1,molecular genetics
874,1,genética molecular
875,1,plant genetics
876,1,genética vegetal
877,1,genomics
878,1,genómica
879,1,genotyping
880,1,genotipado
881,1,genotyping by sequencing
882,1,genotipado por secuenciación
883,1,enzymatic hydrolysis
884,1,hidrólisis encimática
885,1,filamentous fungi
886,1,hongos filamentosos
887,1,molecular identification
888,1,identificación molecular
889,1,scientific writing
890,1,escritura científica
891,1,electromagnetic spectrum
892,1,espectro electromagnético
893,1,spectrophotometry
894,1,espectrofotometría
895,1,biomolecular engineering
896,1,ingeniería biomolecular
897,1,biochemical engineering
898,1,ingeniería bioquímica
899,1,biotechnological engineering
900,1,ingeniería biotecnológica
901,1,spectroscopy
902,1,espectroscopia
903,1,agricultural statistics
904,1,estadísticas agrícolas
905,1,sustainability standards and certification
906,1,estándares y certificación de sostenibilidad.
907,1,aquaculture ponds
908,1,estanques de acuicultura
909,2,manure aquaculture ponds
910,2,estanques de acuicultura con estiércol
911,1,pond manuring in aquaculture
912,1,estiércol de estanques en acuicultura
913,1,macro-regional strategy
914,1,estrategia macrorregional
915,1,aquaculture strategies developing
916,1,estrategias de acuicultura en desarrollo
917,1,irrigation strategies
918,1,estrategias de riego
919,1,strategies for aquaculture
920,1,estrategias para la acuicultura
921,1,biomaterial engineering
922,1,ingeniería de biomateriales
923,1,protein structure
924,1,estructura de la proteína
925,1,protein engineering
926,1,ingeniería de proteínas
927,2,feasibility study on biogas energy
928,2,estudio de viabilidad sobre la energía del biogás
929,1,environmental studies
930,1,estudios ambientales
931,1,biochemical reaction engineering
932,1,ingeniería de reacción bioquímica
933,1,genetic engineering
934,1,ingeniería genética
935,1,impact assessment
936,1,evaluación de impacto
937,1,metabolic engineering
938,1,ingeniería metabólica
939,1,biodiversity assessment
940,1,evaluación de la biodiversidad
941,1,growth rate assessing of cultivated fish species
942,1,evaluación de la tasa de crecimiento de especies de peces cultivadas.
943,2,assessing fish samples for diagnosis
944,2,evaluación de muestras de peces para diagnóstico.
945,1,life cycle assessment
946,1,evaluación del ciclo de vida
947,1,feeding behaviour of larvae assessing
948,1,evaluación del comportamiento alimentario de las larvas.
949,1,aquaculture environmental impact assessing
950,1,evaluación del impacto ambiental de la acuicultura
951,1,assess system performance
952,1,evaluar el rendimiento del sistema
953,1,assess production costs
954,1,evaluar los costos de producción.
955,1,biological inoculants
956,1,inoculantes biológicos
957,1,gene expression
958,1,la expresion genica
959,1,lipidomics
960,1,lipidómica
961,1,lipoproteins
962,1,lipoproteínas
963,1,mammals
964,1,mamíferos
965,1,molecular markers
966,1,marcadores moleculares
967,1,environmental friendly materials
968,1,materiales amigables con el medio ambiente
969,1,nanostructured materials
970,1,materiales nanoestructurados
971,1,polymeric materials
972,1,materiales poliméricos
973,1,molecular plant breeding
974,1,mejoramiento de plantas moleculares
975,1,molecular breeding
976,1,mejoramiento molecular
977,1,pharmaceutics
978,1,farmacia
979,1,pharmacokinetics
980,1,farmacocinética
981,1,pharmacogenetics
982,1,farmacogenética
983,1,pharmacogenomics
984,1,farmacogenómica
985,1,pharmacognosy
986,1,farmacognosia
987,1,plant breeding
988,1,mejoramiento vegetal
989,1,secondary metabolites
990,1,metabolitos secundarios
991,1,metabolomics
992,1,metabolómica
993,1,metagenomics
994,1,metagenómica
995,1,mycoremediation
996,1,micoremediación
997,1,general microbiology
998,1,microbiología general
999,1,molecular microbiology
1000,1,microbiología molecular
1001,1,microbial fermentation
1002,1,fermentación microbiana
1003,1,fertility of soil
1004,1,fertilidad del suelo
1005,1,soil fertility
1006,1,fertilizers
1007,1,fertilizantes
1008,1,microfluidics
1009,1,microfluidos
1010,1,phycotechnology
1011,1,ficotecnología
1012,1,blended finance
1013,1,finanzas mixtas
1014,1,digital microfluidics
1015,1,microfluidos digitales
1016,1,microinjection
1017,1,microinyección
1018,1,phytotechnology
1019,1,fitotecnología
1020,1,flavonoids
1021,1,flavonoides
1022,1,microorganisms
1023,1,microorganismos
1024,1,microcarrier
1025,1,microportador
1026,1,pharmaceutical formulation
1027,1,formulación farmacéutica
1028,1,micropropagation
1029,1,micropropagación
1030,1,fluorescence microscopy
1031,1,microscopio fluorescente
1032,1,kinetic modeling
1033,1,modelado cinético
1034,1,nanobiotechnology
1035,1,nanobiotecnología
1036,1,nanoscience
1037,1,nanociencia
1038,1,nanofabrication
1039,1,nanofabricación
1040,1,nanomaterials
1041,1,nanomateriales
1042,1,nanoneuronics
1043,1,nanoneurónica
1044,1,animal genetics
1045,1,genética animal
1046,1,nanoparticles
1047,1,nanopartículas
1048,1,nanotechnology
1049,1,nanotecnología
1050,1,omics
1051,1,ómicas
1052,1,ngos
1053,1,ong
1054,1,pcr
1055,1,polymers
1056,1,polímeros
1057,3,genexpert infinity
1058,3,genexperto infinito
1059,1,biodegradable polymers
1060,1,polímeros biodegradables
1061,1,protein precipitation
1062,1,precipitación de proteínas
1063,1,animal genomics
1064,1,genómica animal
1065,1,enzymatic preparation
1066,1,preparación enzimática
1067,1,probiotics
1068,1,probióticos
1069,1,drying procedures
1070,1,procedimientos de secado
1071,1,upstream processing
1072,1,procesamiento ascendente
1073,1,environmental management
1074,1,gestión ambiental
1075,1,forest management
1076,1,gestión de bosques
1077,1,engineering management
1078,1,gestión de ingeniería
1079,1,supply chain management
1080,1,gestión de la cadena de suministro
1081,1,quality management
1082,1,gestión de la calidad
1083,1,innovation management
1084,1,gestión de la innovación
1085,1,production management
1086,1,gestión de la producción
1087,1,sustainability management
1088,1,gestión de la sostenibilidad
1089,1,laboratory management
1090,1,gestión de laboratorio
1091,1,nutrient management
1092,1,gestión de nutrientes
1093,1,water resources management
1094,1,gestión de recursos hídricos
1095,1,natural resource management
1096,1,gestión de recursos naturales
1097,1,managing waste
1098,1,gestión de residuos
1099,1,waste management
1100,1,sustainable supply management
1101,1,gestión de suministros sostenibles
1102,1,yield management
1103,1,gestión del rendimiento
1104,1,fishery management
1105,1,gestión pesquera
1106,1,fish harvest methods
1107,1,métodos de captura de peces
1108,1,sustainable management
1109,1,gestión sostenible
1110,2,sustainable management of resources
1111,2,gestión sostenible de los recursos.
1112,1,manage fishery using biological knowledge
1113,1,gestionar la pesca utilizando el conocimiento biológico
1114,1,environmental governance
1115,1,gobernanza ambiental
1116,1,healthy farm
1117,1,granja saludable
1118,1,laboratory skills
1119,1,habilidades de laboratorio
1120,1,herpetology
1121,1,herpetología
1122,1,downstream processing
1123,1,procesamiento en bajada
1124,1,enzymatic processing
1125,1,procesamiento enzimático
1126,1,fungi
1127,1,hongos
1128,1,enzyme processing
1129,1,horticulture
1130,1,horticultura
1131,1,product environmental footprint
1132,1,huella ambiental del producto
1133,1,fermentation process
1134,1,proceso de fermentación
1135,1,biochemical processes
1136,1,procesos bioquímicos
1137,2,identify the environmental impact of specific aquaculture activity
1138,2,identificar el impacto ambiental de una actividad acuícola específica.
1139,2,identifying the impact of specific aquaculture activity
1140,2,identificar el impacto de una actividad acuícola específica
1141,1,identifying characteristics of crops
1142,1,identificar las características de los cultivos.
1143,1,protein production
1144,1,producción de proteínas
1145,1,global warming impact
1146,1,impacto del calentamiento global
1147,2,environmental impact
1148,2,impacto medioambiental
1149,1,biochemical products
1150,1,productos bioquímicos
1151,1,sustainable industries
1152,1,industrias sustentables
1153,1,reporting harvested fish production
1154,1,informar la producción de pescado cosechado
