BIOEC_BAG,BIOEC_MMC,data_type,sectors,skill_category,keyword_en_ori,keyword_en_mod,keyword_en_minusc,keyword_es,keyword_es_minusc,keyword_pt_minusc,keyword_top,source,Comment,hub_challenge
1,2,,Transversal,Técnica especializada,Antioxidant Activity,,antioxidant activity,Actividad antioxidante,actividad antioxidante,atividade antioxidante,,ResearchGate,,
1,1,,Piscícola,Técnica especializada,Aquaculture,,aquaculture,Acuicultura,acuicultura,aquicultura,1,ResearchGate,,
,0,,,,Advise on nitrate pollution,,advise on nitrate pollution,Asesoramiento sobre contaminación por nitratos,asesoramiento sobre contaminación por nitratos,,,deloitte_2022_bioeconomy_skills,,
,0,,Salud,,population health,,population health,salud de la población,salud de la población,,,Linkedin,,
,0,,,,Aerospace industry,,aerospace industry,Industria aeroespacial,industria aeroespacial,,,http://dbpedia.org/resource/Aerospace_industry,,
,0,,Energía,,Advice on hydrogen,,advice on hydrogen,Consejos sobre el hidrógeno.,consejos sobre el hidrógeno.,,,deloitte_2022_bioeconomy_skills,,
,1,,Piscícola,Técnica especializada,Scope of effects of aquaculture on aquatic resources,aquaculture on aquatic resources,aquaculture on aquatic resources,acuicultura sobre los recursos acuáticos,acuicultura sobre los recursos acuáticos,aquicultura em recursos aquáticos,,deloitte_2022_bioeconomy_skills,,
,0,,,,African Centre for Technology Studies,,african centre for technology studies,Centro Africano para Estudios Tecnológicos,centro africano para estudios tecnológicos,,,http://dbpedia.org/resource/African_Centre_for_Technology_Studies,,
0,0,,Transversal,,Ecology and Evolution,,ecology and evolution,Ecología y Evolución,ecología y evolución,,,ResearchGate,,
SI,0,,,,Comparison of DNA sequencing services,,comparison of dna sequencing services,Comparación de servicios de secuenciación de ADN.,comparación de servicios de secuenciación de adn.,,,http://dbpedia.org/resource/Comparison_of_DNA_sequencing_services,,
,0,Company,,,SequenceBase,,sequencebase,Base de secuencia,base de secuencia,,,http://dbpedia.org/resource/SequenceBase,,
,0,,,,Agriculture and Rural Development Day,,agriculture and rural development day,Día de la Agricultura y el Desarrollo Rural,día de la agricultura y el desarrollo rural,,,http://dbpedia.org/resource/Agriculture_and_Rural_Development_Day,,
,0,,,,Aid for Trade,,aid for trade,Ayuda para el Comercio,ayuda para el comercio,,,http://dbpedia.org/resource/Aid_for_Trade,,
SI,0,,Transversal,,Horse industry,,horse industry,Industria del caballo,industria del caballo,,,http://dbpedia.org/resource/Horse_industry,,
,2,,Salud,Técnica especializada,Oncolytic adenovirus,,oncolytic adenovirus,adenovirus oncolítico,adenovirus oncolítico,adenovírus oncolítico,,http://dbpedia.org/resource/Oncolytic_adenovirus,,
,1,,Transversal,Técnica especializada,Safety management ,,safety management ,Administración de Seguridad ,administración de seguridad ,gestão da segurança ,,https://www.mdpi.com/2071-1050/14/15/9607,(a) Bioeconomy Skills—Agriculture,
,1,,Transversal,Técnica especializada,Water management,,water management,Administracion del Agua,administracion del agua,gerência de água,,https://www.mdpi.com/2071-1050/14/15/9607,Table A1. Sustainability skills.,
,1,,Transversal,Técnica especializada,DNA,,dna,ADN,adn,ADN,,http://dbpedia.org/resource/DNA,,
,1,,Biotecnología,Técnica especializada,Recombinant DNA,,recombinant dna,ADN recombinante,adn recombinante,DNA recombinante,,http://dbpedia.org/resource/Recombinant_DNA,,
1,1,,Biotecnología,Técnica especializada,Biocontrol Agents,,biocontrol agents,Agentes de biocontrol,agentes de biocontrol,agentes de biocontrole,,ResearchGate,,
,1,,Biotecnología,Técnica especializada,Amplicon,,amplicon,amplicón,amplicón,amplicon,,http://dbpedia.org/resource/Amplicon,,
1,1,,Transversal,Básica general,Adsorption,,adsorption,Adsorción,adsorción,adsorção,,ResearchGate,,
1,1,,Biotecnología,Técnica especializada,Biochemical Analysis,,biochemical analysis,Análisis bioquímico,análisis bioquímico,análise bioquímica,,ResearchGate,,
1,1,,Agro,Técnica especializada,Agriculture,,agriculture,agricultura,agricultura,agricultura,1,ResearchGate,,
,1,,Agro,Técnica especializada,Development-supported agriculture,,development-supported agriculture,Agricultura apoyada por el desarrollo,agricultura apoyada por el desarrollo,agricultura apoiada pelo desenvolvimento,,http://dbpedia.org/resource/Development-supported_agriculture,,
,1,,Agro,Técnica especializada,Cellular Agriculture Society,cellular Agriculture,cellular agriculture,agricultura celular,agricultura celular,agricultura celular,,http://dbpedia.org/resource/Cellular_Agriculture_Society,,
,1,,Agro,Técnica especializada,Conservation agriculture,,conservation agriculture,Agricultura de conservación,agricultura de conservación,agricultura de conservação,,deloitte_2022_bioeconomy_skills,,
,1,,Agro,Técnica especializada,Precision farming applying,precision farming,precision farming,Agricultura de precisión,agricultura de precisión,Agricultura de precisão,,deloitte_2022_bioeconomy_skills,,
,1,,Agro,Técnica especializada,Rural area agriculture,,rural area agriculture,Agricultura de zona rural,agricultura de zona rural,agricultura na área rural,,https://www.mdpi.com/2071-1050/14/15/9607,(a) Bioeconomy Skills—Agriculture,
,1,,Agro,Técnica especializada,Organic farming,,organic farming,Agricultura ecológica,agricultura ecológica,Agricultura orgânica,,deloitte_2022_bioeconomy_skills,https://www.mdpi.com/2071-1050/14/15/9607,
SI,0,,Agro,Técnica especializada,Horticulture industry,,horticulture industry,industria hortícola,industria hortícola,,,http://dbpedia.org/resource/Horticulture_industry,,
,0,,,,Aircraft industry,,aircraft industry,Industria aerea,industria aerea,,,http://dbpedia.org/resource/Aircraft_industry,,
,1,,Agro,Técnica especializada,Controlled Environment Agriculture,,controlled environment agriculture,Agricultura en ambiente controlado,agricultura en ambiente controlado,agricultura ambiente controlado,,https://www.mdpi.com/2071-1050/14/15/9607,(a) Bioeconomy Skills—Agriculture,
,1,Knowledge,Agro,Básica general,family agriculture,,family agriculture,agricultura familiar,agricultura familiar,agricultura familiar,,Linkedin,,
,1,,Agro,Técnica especializada,Hybrid farming,,hybrid farming,Agricultura híbrida,agricultura híbrida,agricultura híbrida,,https://www.mdpi.com/2071-1050/14/15/9607,(a) Bioeconomy Skills—Agriculture,
,1,,Agro,Técnica especializada,smart agriculture,,smart agriculture,agricultura inteligente,agricultura inteligente,agricultura inteligente,,Linkedin,,
1,1,,Agro,Básica general,Organic Agriculture,,organic agriculture,Agricultura orgánica,agricultura orgánica,Agricultura orgânica,,ResearchGate,,
,1,,Agro,Técnica especializada,Peri-urban agriculture,,peri-urban agriculture,Agricultura periurbana,agricultura periurbana,agricultura periurbana,,https://www.mdpi.com/2071-1050/14/15/9607,(a) Bioeconomy Skills—Agriculture,
,1,,Agro,Sostenibilidad,Zero waste agriculture,,zero waste agriculture,Agricultura sin residuos,agricultura sin residuos,agricultura com desperdício zero,,https://dbpedia.org/page/Waste,,
,0,,,,ALC-0159,,alc-0159,ALC-0159,alc-0159,,,http://dbpedia.org/resource/ALC-0159,,
,0,,,,Alcohol industry,,alcohol industry,Industria del alcohol,industria del alcohol,,,http://dbpedia.org/resource/Alcohol_industry,,
,0,,,,Analog ear,,analog ear,oído analógico,oído analógico,,,http://dbpedia.org/resource/Analog_ear,,
,0,,,,Analyze irregular migration,,analyze irregular migration,Analizar la migración irregular,analizar la migración irregular,,,deloitte_2022_bioeconomy_skills,,
,0,,Transversal,,Inclusive wealth,,inclusive wealth,Riqueza inclusiva,riqueza inclusiva,,,http://dbpedia.org/resource/Inclusive_wealth,,
,1,,Agro,Sostenibilidad,sustainable agriculture,,sustainable agriculture,Agricultura sostenible,agricultura sostenible,Agricultura sustentável,,https://www.mdpi.com/2071-1050/14/15/9607,Table A1. Sustainability skills.,
SI,0,,Transversal,,MALBAC,,malbac,MALBAC,malbac,,,http://dbpedia.org/resource/MALBAC,,
,1,,Agro,Técnica especializada,Urban agriculture,,urban agriculture,Agricultura urbana,agricultura urbana,agricultura urbana,,https://www.mdpi.com/2071-1050/14/15/9607,(a) Bioeconomy Skills—Agriculture,
,1,,Agro,Técnica especializada,agrifood,,agrifood,agroalimentario,agroalimentario,agroalimentar,,Linkedin,,
1,1,,Agro,Técnica especializada,Agrobacterium,,agrobacterium,agrobacteria,agrobacteria,agrobactéria,,http://dbpedia.org/resource/Agrobacterium,,
,0,,Energía,,Bottom ash,,bottom ash,Cenizas de fondo,cenizas de fondo,,,https://dbpedia.org/page/Waste,,
0,0,,,,Animal Anatomy,,animal anatomy,Anatomía Animal,anatomía animal,,,ResearchGate,,
1,1,,Agro,Sostenibilidad,Agrobiodiversity,,agrobiodiversity,Agrobiodiversidad,agrobiodiversidad,agrobiodiversidade,1,ResearchGate,,
,0,,Forestal,,Operate wood chippers,,operate wood chippers,Operar trituradoras de madera,operar trituradoras de madera,,,deloitte_2022_bioeconomy_skills,,
,1,,Agro,Técnica especializada,Agroecology,,agroecology,Agroecología,agroecología,agroecologia,1,deloitte_2022_bioeconomy_skills,,
1,1,,Agro,Técnica especializada,Agroforestry,,agroforestry,Agroforestería,agroforestería,agrossilvicultura,,ResearchGate,,
,1,,Agro,Técnica especializada,Agroinfiltration,,agroinfiltration,Agroinfiltración,agroinfiltración,agroinfiltração,,http://dbpedia.org/resource/Agroinfiltration,,
,0,,NA,,Chargaff's rules,,chargaff's rules,Las reglas de Chargaff,las reglas de chargaff,,,http://dbpedia.org/resource/Chargaff's_rules,,
0,0,,Piscícola,,Fish,,fish,Pez,pez,,,ResearchGate,,
0,0,,,,Animal Anatomy and Physiology,,animal anatomy and physiology,Anatomía y Fisiología Animal,anatomía y fisiología animal,,,ResearchGate,,
,0,,,,Animal efficacy rule,,animal efficacy rule,Regla de eficacia animal,regla de eficacia animal,,,http://dbpedia.org/resource/Animal_efficacy_rule,,
,0,,,,Animal product,,animal product,Producto animal,producto animal,,,https://www.onetcenter.org/dictionary/22.0/excel/green_occupations.html,,
1,1,,Agro,Sostenibilidad,Agribusiness,,agribusiness,Agronegocios,agronegocios,agronegócio,1,ResearchGate,,
1,1,,Agro,Técnica especializada,Agronomy,,agronomy,Agronomía,agronomía,agronomia,1,ResearchGate,,
,1,,Residuos,Técnica especializada,Coffee wastewater,,coffee wastewater,Aguas residuales del café,aguas residuales del café,águas residuais de café,,https://dbpedia.org/page/Waste,,
1,1,,Transversal,Técnica especializada,Alkaloids,,alkaloids,Alcaloides,alcaloides,alcalóides,,ResearchGate,,
,0,,Transversal,,Melomics,,melomics,Melómica,melómica,,,http://dbpedia.org/resource/Melomics,,
0,0,,,,Animals,,animals,animales,animales,,,ResearchGate,,
,1,,Salud,Técnica especializada,Functional foods,,functional foods,alimentos funcionales,alimentos funcionales,alimentos funcionais,1,,,
,2,,Transversal,Técnica especializada,Stock raw food materials,,stock raw food materials,Almacenar materias primas alimentarias,almacenar materias primas alimentarias,estocar matérias-primas alimentares,,deloitte_2022_bioeconomy_skills,,
1,1,,Biotecnología,Técnica especializada,DNA Analysis,,dna analysis,Análisis de ADN,análisis de adn,análise de DNA,,ResearchGate,,
0,0,,,,Applied and Computational Mathematics,,applied and computational mathematics,Matemática Aplicada y Computacional,matemática aplicada y computacional,,,ResearchGate,,
1,1,,Transversal,Sostenibilidad,Environment,,environment,Ambiente,ambiente,ambiente,,ResearchGate,,
,1,,Transversal,Sostenibilidad,Environmental threats,,environmental threats,Amenazas ambientales,amenazas ambientales,ameaças ambientais,,deloitte_2022_bioeconomy_skills,,
1,1,,Biotecnología,Técnica especializada,Phytochemical Analysis,,phytochemical analysis,Análisis fitoquímico,análisis fitoquímico,análise fitoquímica,,ResearchGate,,
1,1,,Biotecnología,Técnica especializada,Genetic Analysis,,genetic analysis,Análisis genético,análisis genético,análise genética,,ResearchGate,,
1,1,,Biotecnología,Técnica especializada,Antibacterials,,antibacterials,Antibacterianos,antibacterianos,antibacterianos,,ResearchGate,,
,0,Knowledge,Salud,,Vaccination,,vaccination,Vacunación,vacunación,,,http://dbpedia.org/resource/Vaccination,,
,0,,Salud,,pharmaceutical industry,,pharmaceutical industry,industria farmacéutica,industria farmacéutica,,,Linkedin,,
1,1,,Transversal,Sostenibilidad,Environmental Analysis,,environmental analysis,Análisis ambiental,análisis ambiental,análise ambiental,,ResearchGate,,
,1,Knowledge,Biotecnología,Técnica especializada,Polyclonal antibodies,,polyclonal antibodies,Anticuerpos policlonales,anticuerpos policlonales,anticorpos policlonais,,http://dbpedia.org/resource/Polyclonal_antibodies,,
,1,,Transversal,Técnica especializada,Compositional Analysis,,compositional analysis,Análisis composicional,análisis composicional,análise composicional,,https://www.linkedin.com/in/phillip-mui-52069847/details/skills/,,
1,1,,Transversal,Básica general,Quantitative Analysis,,quantitative analysis,Análisis cuantitativo,análisis cuantitativo,análise quantitativa,,ResearchGate,,
SI,0,,,,Pat Yang,,pat yang,Pat Yang,pat yang,,,http://dbpedia.org/resource/Pat_Yang,,
1,1,,Biotecnología,Técnica especializada,Antimicrobials,,antimicrobials,Antimicrobianos,antimicrobianos,antimicrobianos,,ResearchGate,,
1,1,,Agro,Básica general,Food Analysis,,food analysis,Análisis de alimentos,análisis de alimentos,análise de alimentos,,ResearchGate,,
NO,0,,,,Arms industry,,arms industry,Industria armamentística,industria armamentística,,,http://dbpedia.org/resource/Arms_industry,,
,1,,Transversal,Técnica especializada,value chains analysis,,value chains analysis,análisis de cadenas de valor,análisis de cadenas de valor,análise de cadeias de valor,,Linkedin,,
1,0,,,,Articular Cartilage,,articular cartilage,Cartílago articular,cartílago articular,,,ResearchGate,,
,0,,Transversal,,Nature of global warming impact,,nature of global warming impact,Naturaleza del impacto del calentamiento global,naturaleza del impacto del calentamiento global,,,deloitte_2022_bioeconomy_skills,,
SI,0,,Transversal,,Pharmaceutical industry,,pharmaceutical industry,Industria farmacéutica,industria farmacéutica,,,http://dbpedia.org/resource/Pharmaceutical_industry,,
1,1,,Transversal,Técnica especializada,Cost-Effectiveness Analysis,,cost-effectiveness analysis,Análisis de costo-efectividad,análisis de costo-efectividad,análise de custo-efetividade,,ResearchGate,,
,0,,Residuos,,Bulky waste,,bulky waste,Residuos voluminosos,residuos voluminosos,,,https://dbpedia.org/page/Waste,,
1,1,,Transversal,Técnica especializada,Value Chain Analysis,,value chain analysis,Análisis de la cadena de valor,análisis de la cadena de valor,análise da cadeia de valor,,ResearchGate,,
,0,,Piscícola,,Fish processing industry,,fish processing industry,Industria procesadora de pescado,industria procesadora de pescado,,,http://dbpedia.org/resource/Fish_processing_industry,,
,1,,Transversal,Básica general,Policy analysis,,policy analysis,Análisis de políticas,análisis de políticas,análise política,,deloitte_2022_bioeconomy_skills,,
,2,,Agro,Técnica especializada,Crop production analysing,,crop production analysing,Análisis de producción de cultivos.,análisis de producción de cultivos.,análise de produção agrícola,,deloitte_2022_bioeconomy_skills,,
3,3,,Transversal,Básica general,Social Network Analysis,,social network analysis,Análisis de redes sociales,análisis de redes sociales,análise de redes sociais,,ResearchGate,,
,0,,Piscícola,,Fishery products conserving,,fishery products conserving,Conservación de productos pesqueros,conservación de productos pesqueros,,,deloitte_2022_bioeconomy_skills,,
,0,,Piscícola,Técnica especializada,Aquaculture industry,,aquaculture industry,Industria acuícola,industria acuícola,,,deloitte_2022_bioeconomy_skills,,
1,1,,Agro,Técnica especializada,Soil Analysis,,soil analysis,Análisis de suelos,análisis de suelos,análise de solo,,ResearchGate,,
,1,,Biotecnología,Técnica especializada,Aptamer,,aptamer,aptámero,aptámero,aptâmero,,http://dbpedia.org/resource/Aptamer,,
1,1,,Transversal,Técnica especializada,Econometric Analysis,,econometric analysis,Análisis econométrico,análisis econométrico,análise econométrica,,ResearchGate,,
1,1,,Transversal,Técnica especializada,Economics Analysis,,economics analysis,Análisis económico,análisis económico,análise econômica,,ResearchGate,,
1,1,,Transversal,Técnica especializada,Statistical Analysis,,statistical analysis,Análisis estadístico,análisis estadístico,análise estatística,,ResearchGate,,
,1,,Biotecnología,Técnica especializada,RNA,,rna,ARN,arn,ana,,http://dbpedia.org/resource/RNA,,
,1,,Forestal,Técnica especializada,Performing forestry analysis,forestry analysis,forestry analysis,análisis forestal,análisis forestal,análise florestal,1,deloitte_2022_bioeconomy_skills,,
0,1,,Transversal,Técnica especializada,Functional Analysis,,functional analysis,Análisis funcional,análisis funcional,análise funcional,,ResearchGate,,
,0,,NA,,Cunninghamella elegans,,cunninghamella elegans,Cunninghamella elegans,cunninghamella elegans,,,http://dbpedia.org/resource/Cunninghamella_elegans,,
,0,,,,Arven Pharmaceuticals,,arven pharmaceuticals,Farmacéutica Arven,farmacéutica arven,,,http://dbpedia.org/resource/Arven_Pharmaceuticals,,
,0,,,,Aspergillus niger,,aspergillus niger,Aspergillus niger,aspergillus niger,,,http://dbpedia.org/resource/Aspergillus_niger,,
,1,,Biotecnología,Técnica especializada,Lactic acid bacteria,,lactic acid bacteria,Bacterias de ácido láctico,bacterias de ácido láctico,bactérias do ácido láctico,,Linkedin,,
0,0,,,,Assessment,,assessment,Evaluación,evaluación,,,ResearchGate,,
0,0,,,,Automation,,automation,Automatización,automatización,,,ResearchGate,,
,0,,Energía,,Manufacturing of steam generators,,manufacturing of steam generators,Fabricación de generadores de vapor.,fabricación de generadores de vapor.,,,deloitte_2022_bioeconomy_skills,,
,0,,Transversal,,Pulp and paper industry,,pulp and paper industry,Industria de pulpa y papel,industria de pulpa y papel,,,http://dbpedia.org/resource/Pulp_and_paper_industry,,
,0,,Transversal,Básica general,research,,research,investigación,investigación,,,Linkedin,,
,0,,Piscícola,,Fishing industry,,fishing industry,Industria pesquera,industria pesquera,,,http://dbpedia.org/resource/Fishing_industry,,
,0,,,,Automotive industry,,automotive industry,Industria automotriz,industria automotriz,,,http://dbpedia.org/resource/Automotive_industry,,
1,1,,Transversal,Técnica especializada,Microbiological Analysis,,microbiological analysis,Análisis microbiológico,análisis microbiológico,análise microbiológica,,ResearchGate,,
,0,,,,Baking industry,,baking industry,Industria panadera,industria panadera,,,http://dbpedia.org/resource/Baking_industry,,
,0,,,,Banking industry,,banking industry,industria bancaria,industria bancaria,,,http://dbpedia.org/resource/Banking_industry,,
,1,,Transversal,Técnica especializada,Perform microbiological analysis in food,microbiological analysis in food,microbiological analysis in food,análisis microbiológico en alimentos,análisis microbiológico en alimentos,análise microbiológica em alimentos,,deloitte_2022_bioeconomy_skills,,
1,1,,Transversal,Básica general,Chemical Analysis,,chemical analysis,Análisis químico,análisis químico,análises químicas,,ResearchGate,,
1,1,,Biotecnología,Básica general,Bacteriology,,bacteriology,Bacteriología,bacteriología,bacteriologia,,ResearchGate,,
1,1,,Biotecnología,Básica general,Bioactivity,,bioactivity,Bioactividad,bioactividad,bioatividade,,ResearchGate,,
1,1,,Biotecnología,Básica general,Biocatalysis,,biocatalysis,Biocatálisis,biocatálisis,biocatálise,,ResearchGate,,
1,1,,Salud,Técnica especializada,Antibiotics,,antibiotics,antibióticos,antibióticos,antibióticos,,ResearchGate,,
,0,,,,Basic chemicals,,basic chemicals,quimicos basicos,quimicos basicos,,,deloitte_2022_bioeconomy_skills,,
,1,,Salud,Técnica especializada,Antibody,,antibody,anticuerpo,anticuerpo,anticorpo,,ResearchGate,,
NO,0,,,,Battery industry,,battery industry,Industria de las baterías,industria de las baterías,,,http://dbpedia.org/resource/Battery_industry,,
,0,,,,Betibeglogene autotemcel,,betibeglogene autotemcel,Betibeglogene autotemcel,betibeglogene autotemcel,,,http://dbpedia.org/resource/Betibeglogene_autotemcel,,
,2,,Salud,Técnica especializada,Monoclonal antibody,,monoclonal antibody,anticuerpo monoclonal,anticuerpo monoclonal,anticorpo monoclonal,,http://dbpedia.org/resource/Monoclonal_antibody,,
,0,,,,Bicycle industry,,bicycle industry,Industria de la bicicleta,industria de la bicicleta,,,http://dbpedia.org/resource/Bicycle_industry,,
1,1,,Biotecnología,Técnica especializada,Biocontrol,,biocontrol,Biocontrol,biocontrol,biocontrole,,ResearchGate,,
,0,,,,Biofact (philosophy),,biofact (philosophy),Biofacto,biofacto,,,http://dbpedia.org/resource/Biofact_(philosophy),,
,0,,,,Biohappiness,,biohappiness,biofelicidad,biofelicidad,,,http://dbpedia.org/resource/Biohappiness,,
,0,,Residuos,,Business waste,,business waste,Desperdicio empresarial,desperdicio empresarial,,,https://dbpedia.org/page/Waste,,
1,1,,Biotecnología,Técnica especializada,Biodegradation,,biodegradation,Biodegradación,biodegradación,biodegradação,,ResearchGate,,
1,1,,Transversal,Técnica especializada,Antioxidants,,antioxidants,Antioxidantes,antioxidantes,antioxidantes,,ResearchGate,,
1,1,,Transversal,Técnica especializada,Natural Antioxidants,,natural antioxidants,Antioxidantes naturales,antioxidantes naturales,antioxidantes naturais,,ResearchGate,,
SI,0,,Transversal,,Wood industry,,wood industry,Industria de la madera,industria de la madera,,,http://dbpedia.org/resource/Wood_industry,,
1,1,,Transversal,Técnica especializada,Anthocyanins,,anthocyanins,antocianinas,antocianinas,antocianinas,,ResearchGate,,
1,1,,Agro,Básica general,Apiculture,,apiculture,Apicultura,apicultura,apicultura,,ResearchGate,,
,1,,Biotecnología,Técnica especializada,Biostimulation,,biostimulation,Bioestimulación,bioestimulación,bioestimulação,,http://dbpedia.org/resource/Biostimulation,,
,3,,Transversal,Técnica especializada,L-Ribonucleic acid aptamer,,l-ribonucleic acid aptamer,Aptámero del ácido L-ribonucleico,aptámero del ácido l-ribonucleico,aptâmero de ácido l-ribonucléico,,http://dbpedia.org/resource/L-Ribonucleic_acid_aptamer,,
,0,,Energía,,Methanol economy,,methanol economy,Economía del metanol,economía del metanol,,,http://dbpedia.org/resource/Methanol_economy,,
,1,,Transversal,Sostenibilidad,Harmony with nature,,harmony with nature,Armonía con la naturaleza,armonía con la naturaleza,harmonia com a natureza,,http://dbpedia.org/resource/Harmony_with_nature,,
,1,,Biotecnología,Técnica especializada,Biofabrication,,biofabrication,Biofabricación,biofabricación,biofabricação,,http://dbpedia.org/resource/Biofabrication,,
,1,,Biotecnología,Técnica especializada,Biofunctionalisation,,biofunctionalisation,Biofuncionalización,biofuncionalización,biofuncionalização,,http://dbpedia.org/resource/Biofunctionalisation,,
,1,,Transversal,Técnica especializada,Archaeobotany,,archaeobotany,Arqueobotánica,arqueobotánica,arqueobotânica,,deloitte_2022_bioeconomy_skills,,
,0,,Transversal,Básica general,Innovation,,innovation,innovación,innovación,,,Linkedin,,
1,1,,Transversal,Sostenibilidad,Sustainable Architecture,,sustainable architecture,Arquitectura sostenible,arquitectura sostenible,arquitetura sustentável,,ResearchGate,,
1,1,,Transversal,Básica general,Bacteria,,bacteria,bacterias,bacterias,bactérias,,ResearchGate,,
,1,Knowledge,Biotecnología,Técnica especializada,Biohydrometallurgy,,biohydrometallurgy,Biohidrometalurgia,biohidrometalurgia,biohidrometalurgia,,http://dbpedia.org/resource/Biohydrometallurgy,,
,1,,Biotecnología,Técnica especializada,bioinformatics,,bioinformatics,bioinformática,bioinformática,bioinformática,,https://www.linkedin.com/in/dan-widmaier-1760601/details/skills/,,
1,1,,Biotecnología,Técnica especializada,Bioinstrumentation,,bioinstrumentation,Bioinstrumentación,bioinstrumentación,bioinstrumentação,,ResearchGate,,
,1,Knowledge,Transversal,Técnica especializada,Bacteriology,,bacteriology,Bacteriología,bacteriología,bacteriologia,,deloitte_2022_bioeconomy_skills,,
,0,,Residuos,,Chaff,,chaff,Paja,paja,,,https://dbpedia.org/page/Waste,,
1,1,,Biotecnología,Técnica especializada,Molecular Cell Biology,,molecular cell biology,Biología celular molecular,biología celular molecular,biologia celular molecular,,ResearchGate,,
,0,,Energía,,Operate boiler,,operate boiler,Operar caldera,operar caldera,,,deloitte_2022_bioeconomy_skills,,
,0,,Energía,,Nuclear power industry,,nuclear power industry,industria de la energía nuclear,industria de la energía nuclear,,,http://dbpedia.org/resource/Nuclear_power_industry,,
,0,,Energía,,Nuclear transfer,,nuclear transfer,Transferencia nuclear,transferencia nuclear,,,http://dbpedia.org/resource/Nuclear_transfer,,
,1,,Transversal,Sostenibilidad,nature based,,nature based,basado en la naturaleza,basado en la naturaleza,baseado na natureza,,Linkedin,,
3,3,,Transversal,Técnica especializada,NCBI Database,,ncbi database,Base de datos NCBI,base de datos ncbi,banco de dados ncbi,,ResearchGate,,
,1,,Residuos,Técnica especializada,Green waste,,green waste,Basura orgánica,basura orgánica,resíduos verdes,,https://dbpedia.org/page/Waste,,
,1,,Biotecnología,Técnica especializada,Engineering biology,,engineering biology,biología de la ingeniería,biología de la ingeniería,biologia de engenharia,,http://dbpedia.org/resource/Engineering_biology,,
,1,,Transversal,Técnica especializada,Ecological goods and services,,ecological goods and services,Bienes y servicios ecológicos.,bienes y servicios ecológicos.,bens e serviços ecológicos,,http://dbpedia.org/resource/Ecological_goods_and_services,,
1,1,,Biotecnología,Técnica especializada,Molecular Biology,,molecular biology,Biología Molecular,biología molecular,biologia molecular,,ResearchGate,,
1,1,,Agro,Técnica especializada,Plant Reproductive Biology,,plant reproductive biology,Biología reproductiva vegetal,biología reproductiva vegetal,biologia reprodutiva de plantas,,ResearchGate,,
,0,,Energía,,Production of electricity using fossil fuels,,production of electricity using fossil fuels,Producción de electricidad utilizando combustibles fósiles.,producción de electricidad utilizando combustibles fósiles.,,,deloitte_2022_bioeconomy_skills,,
1,1,,Transversal,Sostenibilidad,Bioacoustics,,bioacoustics,Bioacústica,bioacústica,bioacústica,,ResearchGate,,
,1,,Energía,Técnica especializada,Biochar,,biochar,biocarbón,biocarbón,biochar,,https://link.springer.com/article/10.1007/s10311-022-01468-z,,
0,0,,,,Biology Education,,biology education,Educación en biología,educación en biología,,,ResearchGate,,
,1,,Biotecnología,Técnica especializada,Synthetic biology,,synthetic biology,Biología sintética,biología sintética,biologia sintética,,http://dbpedia.org/resource/Synthetic_biology,,
