sectors,keyword_en,keyword_es,keyword_pt
Forestal,forestry analysis,análisis forestal,análise florestal
Transversal,functional analysis,análisis funcional,análise funcional
Biotecnología,lactic acid bacteria,bacterias de ácido láctico,bactérias do ácido láctico
Transversal,microbiological analysis,análisis microbiológico,análise microbiológica
Transversal,microbiological analysis in food,análisis microbiológico en alimentos,análise microbiológica em alimentos
Transversal,chemical analysis,análisis químico,análises químicas
Biotecnología,bacteriology,bacteriología,bacteriologia
Biotecnología,bioactivity,bioactividad,bioatividade
Biotecnología,biocatalysis,biocatálisis,biocatálise
Salud,antibiotics,antibióticos,antibióticos
Salud,antibody,anticuerpo,anticorpo
Salud,monoclonal antibody,anticuerpo monoclonal,anticorpo monoclonal
Biotecnología,biocontrol,biocontrol,biocontrole
Biotecnología,biodegradation,biodegradación,biodegradação
Transversal,antioxidants,antioxidantes,antioxidantes
Transversal,natural antioxidants,antioxidantes naturales,antioxidantes naturais
Transversal,anthocyanins,antocianinas,antocianinas
Agro,apiculture,apicultura,apicultura
Biotecnología,biostimulation,bioestimulación,bioestimulação
Transversal,l-ribonucleic acid aptamer,aptámero del ácido l-ribonucleico,aptâmero de ácido l-ribonucléico
Transversal,harmony with nature,armonía con la naturaleza,harmonia com a natureza
Biotecnología,biofabrication,biofabricación,biofabricação
Biotecnología,biofunctionalisation,biofuncionalización,biofuncionalização
Transversal,archaeobotany,arqueobotánica,arqueobotânica
Transversal,sustainable architecture,arquitectura sostenible,arquitetura sustentável
Transversal,bacteria,bacterias,bactérias
Biotecnología,biohydrometallurgy,biohidrometalurgia,biohidrometalurgia
Biotecnología,bioinformatics,bioinformática,bioinformática
Biotecnología,bioinstrumentation,bioinstrumentación,bioinstrumentação
Transversal,bacteriology,bacteriología,bacteriologia
Biotecnología,molecular cell biology,biología celular molecular,biologia celular molecular
Transversal,nature based,basado en la naturaleza,baseado na natureza
Transversal,ncbi database,base de datos ncbi,banco de dados ncbi
Residuos,green waste,basura orgánica,resíduos verdes
Biotecnología,engineering biology,biología de la ingeniería,biologia de engenharia
Transversal,ecological goods and services,bienes y servicios ecológicos.,bens e serviços ecológicos
Biotecnología,molecular biology,biología molecular,biologia molecular
Agro,plant reproductive biology,biología reproductiva vegetal,biologia reprodutiva de plantas
Transversal,bioacoustics,bioacústica,bioacústica
Energía,biochar,biocarbón,biochar
Biotecnología,synthetic biology,biología sintética,biologia sintética
Biotecnología,polymeric biomaterials,biomateriales poliméricos,biomateriais poliméricos
Transversal,bioscience,biociencia,biociências
Energía,biofuel,biocombustible,biocombustível
Salud,biocompatibility,biocompatibilidad,biocompatibilidade
Biotecnología,bionanotechnology,bionanotecnología,bionanotecnologia
Biotecnología,bioprospecting,bioprospección,bioprospecção
Transversal,microbial biodegradation,biodegradación microbiana,biodegradação microbiana
Energía,biodiesel,biodiésel,biodiesel
Energía,biodigestate,biodigestato,biodigerir
Energía,biodigestates,biodigestatos,biodigestados
Transversal,biodiversity,biodiversidad,biodiversidade
Agro,agricultural biodiversity,biodiversidad agrícola,biodiversidade agrícola
Agro,plant harvesting,cosecha de plantas,colheita de plantas
Transversal,bioeconomy,bioeconomía,bioeconomia
Transversal,bioelectronics,bioelectrónica,bioeletrônica
Energía,bioenergy,bioenergía,bioenergia
Transversal,biostatistics,bioestadística,bioestatística
Biotecnología,bioprospection,bioprospección,bioprospecção
Transversal,bioethics,bioética,bioética
Biotecnología,bioreactor,biorreactor,biorreator
Transversal,biomanufacturing,biofabricación,biofabricação
Salud,biopharmaceutical,biofarmacéutico,biofarmacêutico
Agro,biofertilizers,biofertilizantes,biofertilizantes
Transversal,biophysics,biofísica,biofísica
Biotecnología,bioreactor,biorreactor,biorreator
Energía,biohydrogen,biohidrógeno,biohidrogênio
Biotecnología,biorefining,biorrefinación,biorrefinação
Biotecnología,biorefinery,biorrefinería,biorrefinaria
Biotecnología,next generation bio-refineries,biorrefinerías de próxima generación,biorrefinarias de próxima geração
Agro,bioinputs,bioinsumos,bioinsumos
Salud,biolegend,bioleyenda,biolenda
Agro,bioleaching,biolixiviación,biolixiviação
Transversal,biology,biología,biologia
Transversal,applied biology,biología aplicada,biologia aplicada
Biotecnología,bioremediation ,biorremediación ,biorremediação 
Transversal,combinatorial biology,biología combinatoria,biologia combinatória
Transversal,computational biology,biología computacional,biologia Computacional
Transversal,conservation biology,biología de la conservación,biologia de conservação
Piscícola,biology of aquatic ecology,biología de la ecología acuática.,biologia da ecologia aquática
Biotecnología,environmental bioremediation,biorremediación ambiental,biorremediação ambiental
Transversal,reproduction biology,biología de la reproducción,biologia da reprodução
Piscícola,fish biology,biología de los peces,biologia dos peixes
Transversal,systems biology,biologia de sistemas,biologia de sistemas
Transversal,complex systems biology,biología de sistemas complejos,biologia de sistemas complexos
Agro,soil biology,biología del suelo,biologia do solo
Transversal,floral biology,biología floral,biologia floral
Forestal,forest biology,biología forestal,biologia florestal
Transversal,fungal biology,biología fúngica,biologia fúngica
Biotecnología,in situ bioremediation,biorremediación in situ,biorremediação in situ
Transversal,microbial molecular biology,biología molecular microbiana,biologia molecular microbiana
Biotecnología,photonic biosensors,biosensores fotónicos,biossensores fotônicos
Transversal,reproductive biology,biología reproductiva,biologia reprodutiva
Agro,plant harvest methods,métodos de cosecha de plantas.,métodos de colheita de plantas
Biotecnología,bioseparation,bioseparación,bioseparação
Agro,nutrition of plant soil,nutrición del suelo vegetal,nutrição do solo vegetal
Transversal,biomagnetics,biomagnética,biomagnetismo
Salud,biomarker ,biomarcador ,biomarcador 
Salud,biomarkers,biomarcadores,biomarcadores
Transversal,biomass,biomasa,biomassa
Transversal,biomaterials,biomateriales,biomateriais
Biotecnología,biosurfactant,biosurfactante,biossurfactante
Transversal,biomechanics,biomecánica,biomecânica
Salud,biomedicine,biomedicina,biomedicina
Energía,biomethane,biometano,biometano
Transversal,biomimetics,biomimética,biomimética
Transversal,biomimetic,biomimético,biomimético
Transversal,biomimicry,biomimetismo,biomimética
Biotecnología,environmental biotechnology,biotecnología ambiental,biotecnologia ambiental
Transversal,bionics,biónica,biônica
Agro,biopesticide,biopesticida,biopesticida
Agro,microbial biopesticides,biopesticidas microbianos,biopesticidas microbianos
Transversal,biopiracy,biopiratería,biopirataria
Agro,bioplastics,bioplásticos,bioplásticos
Transversal,biopolymerisation,biopolimerización,biopolimerização
Transversal,biopolymers,biopolímeros,biopolímeros
Transversal,bioprocessor,bioprocesador,bioprocessador
Transversal,bioprocess,bioproceso,bioprocesso
Transversal,bioproducts,bioproductos,bioprodutos
Biotecnología,animal biotechnology,biotecnología animal,biotecnologia animal
Biotecnología,fermentation biotechnology,biotecnología de fermentación,biotecnologia de fermentação
Transversal,biochemistry,bioquímica,bioquímica
Transversal,analytical biochemistry,bioquímica analítica,bioquímica analítica
Agro,animal biochemistry,bioquímica animal,bioquímica animal
Transversal,protein biochemistry,bioquímica de proteínas,bioquímica de proteínas
Agro,plant nutrition,nutrición vegetal,nutrição vegetal
Transversal,biochemicals,bioquímicos,bioquímicos
Biotecnología,mushroom biotechnology,biotecnología de hongos,biotecnologia de cogumelos
Biotecnología,industrial biotechnology,biotecnología industrial,biotecnologia industrial
Transversal,algae bioreactor,biorreactor de algas,biorreator de algas
Agro,plant protection,plan de proteccion,proteção de plantas
Biotecnología,biotransducer,biotransductor,biotransdutor
Biotecnología,biotransformation,biotransformación,biotransformação
Biotecnología,biotransformation,biotransformación,biotransformação
Biotecnología,biovalorization,biovalorización,biovalorização
Biotecnología,good laboratory practice (glp),buenas prácticas de laboratorio (bpl),boas práticas de laboratório (glp)
Biotecnología,enzymatic catalysis,catálisis enzimática,catálise enzimática
Transversal,biorobotics,biorrobótica,biorobótica
Agro,livestock biosecurity,bioseguridad ganadera,biossegurança pecuária
Biotecnología,life sciences,ciencias de la vida,Ciências da Vida
Biotecnología,reaction kinetics,cinética de reacción,cinética de reação
Biotecnología,cytogenetics,citogenética,citogenética
Transversal,biosimilar,biosimilar,biossimilar
Transversal,biosynthesis,biosíntesis,biossíntese
Biotecnología,flow cytometry,citometría de flujo,citometria de fluxo
Transversal,biotechnology,biotecnología,biotecnologia
Agro,agricultural biotechnology,biotecnología agrícola,biotecnologia agrícola
Biotecnología,cloning,clonación,clonagem
Biotecnología,molecular cloning,clonación molecular,clonagem molecular
Biotecnología,in vitro compartmentalization,compartimentación in vitro,compartimentalização in vitro
Biotecnología,bioactive compounds,compuestos bioactivos,compostos bioativos
Forestal,forest biotechnology,biotecnología forestal,biotecnologia florestal
Biotecnología,bacterial conjugation,conjugación bacteriana,conjugação bacteriana
Transversal,microbial biotechnology,biotecnología microbiana,biotecnologia microbiana
Biotecnología,biological control,control biológico,controle biológico
Biotecnología,conversion of biomass,conversión de biomasa,conversão de biomassa
Biotecnología,crispr,crispr,crocante
Biotecnología,chromatography,cromatografía,cromatografia
Biotecnología,liquid chromatography,cromatografía líquida,cromatografia liquida
Agro,botany,botánica,botânica
Agro,good agricultural practices,buenas prácticas agrícolas,boas práticas agrícolas
Biotecnología,high-performance liquid chromatography (hplc),cromatografía líquida de alto rendimiento (hplc),cromatografia líquida de alta eficiência (hplc)
Transversal,supply chain,cadena de suministro,cadeia de mantimentos
Agro,food quality,calidad de la comida,qualidade alimentar
Transversal,water quality,calidad del agua,qualidade da água
Piscícola,aquaculture water quality,calidad del agua para la acuicultura,qualidade da água da aquicultura
Agro,callus ,callo ,calo 
Transversal,climate change,cambio climático,das Alterações Climáticas
Agro,cultured meat,carne cultivada,carne cultivada
Biotecnología,cell culture,cultivo de células,cultura de células
Agro,fertiliser catalysts,catalizadores de fertilizantes,catalisadores de fertilizantes
Transversal,microbial electrolysis cell,celda de electrólisis microbiana,célula de eletrólise microbiana
Salud,adult stem cell,célula madre adulta,célula-tronco adulta
Salud,stem cells,células madre,células-tronco
Salud,embryonic stem cell,células madre embrionarias,célula-tronco embrionária
Salud,induced stem cells,células madre inducidas,células-tronco induzidas
Residuos,coal ash,ceniza de carbón,cinza de carvão
Residuos,wood ash,ceniza de madera,cinza de madeira
Transversal,sustainable certification,certificación sostenible,certificação sustentável
Biotecnología,bacterial cell culture,cultivo de células bacterianas,cultura de células bacterianas
Biotecnología,axenic culture,cultura axénica,cultura axênica
Salud,biomedical science,ciencia biomedica,Ciência biomédica
Transversal,biomaterial science,ciencia de biomateriales,ciência dos biomateriais
Agro,food science,ciencia de los alimentos,Ciência gastronômica
Salud,medical science,ciencia médica,Ciência médica
Biotecnología,botanical data,datos botánicos,dados botânicos
Biotecnología,molecular diagnostics,diagnóstico molecular,diagnóstico molecular
Transversal,circularity,circularidad,circularidade
Transversal,circles of sustainability,círculos de sostenibilidad,círculos de sustentabilidade
Biotecnología,molecular dynamics,dinámica molecular,dinâmica molecular
Biotecnología,bioreactor design,diseño de biorreactor,projeto de biorreator
Salud,cytotoxicity,citotoxicidad,citotoxicidade
Biotecnología,rational design,diseño racional,projeto racional
Biotecnología,genetic diversity,diversidad genetica,diversidade genética
Biotecnología,ecobiotechnology,ecobiotecnología,ecobiotecnologia
Transversal,2 base encoding,codificación de 2 bases,Codificação de 2 bases
Biotecnología,behavioral ecology,ecología del comportamiento,ecologia comportamental
Biotecnología,phytoplankton ecology,ecología del fitoplancton,ecologia do fitoplâncton
Energía,biodiesel fuel,combustible biodiésel,combustível biodiesel
Energía,carbon-neutral fuel,combustible neutro en carbono,combustível neutro em carbono
Agro,functional food,comida funcional,alimento funcional
Piscícola,fishfood,comida para pez,comida de peixe
Biotecnología,bio-based economy,economía de base biológica,economia de base biológica
Agro,food products composition,composición de productos alimenticios.,composição de produtos alimentares
Transversal,chemical composition of sugar,composición química del azúcar.,composição química do açúcar
Agro,compost,compost,composto
Biotecnología,choice editing,edición de elección,edição de escolha
Transversal,biological computing,computación biológica,computação biológica
Transversal,sustainable community,comunidad sostenible,comunidade sustentável
Biotecnología,gene editing,edición de genes,edição genética
Biotecnología,crispr gene editing,edición de genes crispr,edição do gene crispr
Salud,antibody-drug conjugate,conjugado anticuerpo-fármaco,conjugado anticorpo-droga
Salud,antibody-oligonucleotide conjugate,conjugado anticuerpo-oligonucleótido,conjugado anticorpo-oligonucleotídeo
Transversal,conservation,conservación,conservação
Transversal,biological conservation,conservación biológica,conservação biológica
Forestal,forest conservation,conservación de bosques,conservação florestal
Agro,crop conserving,conservación de cultivos,conservação de culturas
Transversal,biodiversity conservation,conservación de la biodiversidad,conservação da Biodiversidade
Agro,food preservation,conservación de los alimentos,preservação de alimentos
Transversal,natural resources conservation,conservación de recursos naturales,conservação de recursos naturais
Transversal,wildlife conservation,conservacion de vida salvaje,conservação da Vida Selvagem
Agro,soil conservation,conservacion del suelo,conservação do solo
Agro,soil and water conservation,conservación del suelo y el agua,conservação do solo e da água
Transversal,nature conservation,conservación natural,conservação da Natureza
Turismo,nature conservation,conservación natural,conservação da Natureza
Biotecnología,genome editing,edición del genoma,edição do genoma
Transversal,sustainable construction,construcción sostenible,construção sustentável
Transversal,green consumption,consumo verde,consumo verde
Transversal,environmental pollution,contaminación ambiental,poluição ambiental
Biotecnología,prime editing,edición principal,edição principal
Agro,biological control,control biológico,controle biológico
Agro,plant taxonomy,taxonomía vegetal,taxonomia vegetal
Transversal,process control,control de procesos,controle do processo
Transversal,biomass conversion,conversión de biomasa,conversão de biomassa
Biotecnología,green building,edificio verde,construção verde
Transversal,michigan life sciences corridor,corredor de ciencias biológicas de michigan,corredor de ciências biológicas de michigan
Agro,plant virus,virus vegetal,vírus de planta
Transversal,clean growth,crecimiento limpio,crescimento limpo
Agro,animal breeding,cría de animales,criação de animais
Agro,mutation breeding,cría por mutación,criação de mutação
Agro,selective breeding,crianza selectiva,reprodução selecionada
Biotecnología,induced-charge electrokinetics,electrocinética de carga inducida,eletrocinética de carga induzida
Biotecnología,electrophoresis,electroforesis,eletroforese
Biotecnología,gel electrophoresis,electroforesis en gel,eletroforese em gel
Biotecnología,electroporation,electroporación,eletroporação
Salud,inclusion bodies,cuerpos de inclusión,corpos de inclusão
Transversal,conservation issues,cuestiones de conservación,questões de conservação
Agro,cultivate crops for biomass,cultivar cultivos para biomasa.,cultivar culturas para biomassa
Agro,grow crops for biomass,cultivar cultivos para biomasa.,cultivar colheitas para biomassa
Biotecnología,somatic embryogenesis,embriogénesis somática,embriogênese somática
Transversal,3d cell culturing by magnetic levitation,cultivo de células 3d por levitación magnética,Cultivo de células 3D por levitação magnética
Biotecnología,impalefection,empalamiento,empalação
Agro,maggot farming,cultivo de gusanos,cultivo de larvas
Transversal,microbial culture,cultivo microbiano,cultura microbiana
Agro,crop growing for biomass,cultivo para biomasa,cultivo de culturas para biomassa
Transversal,microbial food cultures,cultivos alimentarios microbianos.,culturas alimentares microbianas
Agro,industrial crops,cultivos industriales,colheitas industriais
Agro,genetically modified crops,cultivos modificados genéticamente,culturas geneticamente modificadas
Agro,crops growing for biomass,cultivos para biomasa,culturas que crescem para biomassa
Biotecnología,in vitro assays,ensayos in vitro,ensaios in vitro
Biotecnología,in vivo assays,ensayos in vivo,ensaios in vivo
Biotecnología,restriction enzyme,enzima restrictiva,enzima de restrição
Transversal,biobased,de base biológica,de base biológica
Salud,dendrosome,dendrosoma,dendrossomo
Biotecnología,enzymes,enzimas,enzimas
Agro,develop agricultural policies,desarrollar políticas agrícolas,desenvolver políticas agrícolas
Biotecnología,enzymology,enzimología,enzimologia
Agro,agricultural development,desarrollo agrícola,desenvolvimento agrícola
Agro,biopesticide development,desarrollo de bioplaguicidas,desenvolvimento de biopesticida
Transversal,bioprocess development,desarrollo de bioprocesos,desenvolvimento de bioprocessos
Transversal,bioproduct development,desarrollo de bioproductos,desenvolvimento de bioprodutos
Transversal,bioproducts development,desarrollo de bioproductos,desenvolvimento de bioprodutos
Transversal,eco-industrial development,desarrollo ecoindustrial,desenvolvimento ecoindustrial
Transversal,ecologically sustainable development,desarrollo ecológicamente sostenible,desenvolvimento ecologicamente sustentável
Transversal,sustainable economic development,desarrollo económico sostenible,desenvolvimento económico sustentável
Salud,pharmaceutical development,desarrollo farmaceutico,desenvolvimento farmacêutico
Transversal,regional development,desarrollo regional,desenvolvimento Regional
Transversal,sustainable regional development,desarrollo regional sostenible,desenvolvimento regional sustentável
Transversal,rural development,desarrollo rural,desenvolvimento Rural
Transversal,sustainable rural development,desarrollo rural sostenible,desenvolvimento rural sustentável
Transversal,systemic development,desarrollo sistémico,desenvolvimento sistêmico
Transversal,sustainable development,desarrollo sostenible,desenvolvimento sustentável
Salud,fragment-based lead discovery,descubrimiento de clientes potenciales basado en fragmentos,descoberta de leads baseada em fragmentos
Residuos,food waste,desechos alimentarios,desperdício de comida
Residuos,marine debris,desechos marinos,detritos marinhos
Residuos,food loss waste,desperdicio de comida,desperdício de perda de alimentos
Residuos,silk waste,desperdicios de seda,desperdício de seda
Transversal,distillation,destilación,destilação
Transversal,determine process optimisation,determinar la optimización del proceso.,determinar a otimização do processo
Transversal,greenhouse debt,deuda de efecto invernadero,dívida de efeito estufa
Biotecnología,epigenomics,epigenómica,epigenômica
Energía,anaerobic digestion,digestión anaeróbica,digestão anaeróbica
Energía,anaerobic digester,digestor anaeróbico,digestor anaeróbico
Biotecnología,pilot scale,escala piloto,escala de piloto
Transversal,structural dynamics,dinámica estructural,dinâmica estrutural
Biotecnología,spectrometry,espectrometría,espectrometria
Biotecnología,mass spectrometry,espectrometría de masas,espectrometria de massa
Transversal,engineering design,diseño de ingeniería,design de engenharia
Transversal,product design ,diseño de producto ,design de produto 
Transversal,design biomass system,diseño de sistema de biomasa.,projetar sistema de biomassa
Biotecnología,protein mass spectrometry,espectrometría de masas de proteínas,espectrometria de massa de proteínas
Piscícola,algal diversity,diversidad de algas,diversidade de algas
Transversal,diversity of ecosystems,diversidad de ecosistemas,diversidade de ecossistemas
Transversal,species diversity,diversidad de especies,diversidade de espécies
Biotecnología,ethnobotany,etnobotánica,etnobotânica
Transversal,microbial diversity,diversidad microbiana,diversidade microbiana
Agro,crop diversification ,diversificación de cultivos ,diversificação de culturas 
Biotecnología,environmental impact assessment,evaluación de impacto ambiental,avaliação de impacto ambiental
Transversal,duocarmycin,duocarmicina,duocarmicina
Biotecnología,protein expression,expresión de proteínas,expressão proteica
Transversal,ecology,ecología,ecologia
Piscícola,aquatic ecology,ecología acuática,ecologia aquática
Transversal,community ecology,ecología comunitaria,ecologia comunitária
Transversal,ecosystem ecology,ecología de ecosistemas,ecologia do ecossistema
Transversal,fungal ecology,ecología de hongos,ecologia fúngica
Transversal,conservation ecology,ecología de la conservación,ecologia da conservação
Piscícola,fish ecology,ecología de peces,ecologia dos peixes
Biotecnología,recombinant protein expression,expresión de proteínas recombinantes,expressão de proteína recombinante
Biotecnología,heterologous expression,expresión heteróloga,expressão heteróloga
Forestal,forest ecology,ecología forestal,ecologia florestal
Transversal,microbial ecology,ecología microbiana,ecologia microbiana
Agro,berry plants,plantas de baya,plantas de baga
Transversal,applied econometrics,econometría aplicada,econometria aplicada
Agro,agricultural economics,economía agrícola,economia agrícola
Transversal,applied economics,economía aplicada,Economia aplicada
Transversal,low-carbon economy,economía baja en carbono,economia de baixo carbono
Transversal,circular economy,economía circular,economia circular
Biotecnología,extraction,extracción,Extração
Transversal,economics of agriculture,economía de la agricultura,economia da agricultura
Transversal,ecological economics,economía ecológica,economia ecológica
Biotecnología,extracting fatty acid,extracción de ácidos grasos,extração de ácido graxo
Transversal,ecourbanism,ecourbanismo,ecourbanismo
Biotecnología,dna extraction,extracción de adn,extração de DNA
Biotecnología,extraction of bioactive compounds,extracción de compuestos bioactivos,extração de compostos bioativos
Biotecnología,extract fatty acid,extraer ácido graso,extrair ácido graxo
Transversal,leaper gene editing,edición del gen leaper,edição genética saltadora
Biotecnología,extremophiles,extremófilos,extremófilos
Biotecnología,fermentation,fermentación,fermentação
Biotecnología,lab scale fermentation,fermentación a escala de laboratorio,fermentação em escala de laboratório
Biotecnología,production scale fermentation,fermentación a escala de producción.,fermentação em escala de produção
Transversal,rebound effect in conservation,efecto rebote en la conservación,efeito rebote na conservação
Energía,energy efficiency,eficiencia energética,eficiência energética
Agro,livestock efficiency,eficiencia ganadera,eficiência pecuária
Biotecnología,yeast fermentation,fermentación de levadura,fermentação de levedura
Agro,soil improvement ,el mejoramiento del suelo ,Melhoria do solo 
Turismo,sustainable tourism,el turismo sostenible,Turismo sustentável
Residuos,waste management processes devising,elaboración de procesos de gestión de residuos.,elaboração de processos de gestão de resíduos
Biotecnología,solid state fermentation,fermentación en estado sólido,fermentação em estado sólido
Biotecnología,industrial fermentation,fermentación industrial,fermentação industrial
Biotecnología,phytochemistry,fitoquímica,fitoquímica
Energía,electrohydrogenesis,electrohidrogénesis,eletrohidrogênese
Energía,electromethanogenesis,electrometanogénesis,eletrometanogênese
Biotecnología,phytoremediation,fitorremediación,fitorremediação
Transversal,microbial electrosynthesis,electrosíntesis microbiana,eletrossíntese microbiana
Biotecnología,feed formulation,formulación de piensos,formulação de ração
Residuos,biochemical waste disposal,eliminación de residuos bioquímicos,eliminação de resíduos bioquímicos
Biotecnología,phosphoproteomics,fosfoproteómica,fosfoproteômica
Energía,net-carbon zero emission,emisiones netas de carbono cero,emissão líquida zero de carbono
Biotecnología,photobiology,fotobiología,fotobiologia
Transversal,green jobs,empleos verdes,empregos verdes
Biotecnología,photophysics,fotofísica,fotofísica
Biotecnología,photosynthesis,fotosíntesis,fotossíntese
Transversal,intron-encoded endonuclease i-scei,endonucleasa i-scei codificada por intrón,endonuclease i-scei codificada por íntron
Energía,biogas energy,energía de biogás,energia de biogás
Energía,biogas energy,energía de biogás,energia de biogás
Energía,clean energy,energia limpia,energia limpa
Energía,energy for sustainable development,energía para el desarrollo sostenible,energia para o desenvolvimento sustentável
Energía,sustainable energy,energía sostenible,energia Sustentável
Biotecnología,fungiculture,fungicultura,fungicultura
Biotecnología,somatic fusion,fusión somática,fusão somática
Biotecnología,genetics,genética,genética
Biotecnología,quantitative genetics,genética cuantitativa,genética quantitativa
Transversal,entomology,entomología,entomologia
Agro,agricultural entomology,entomología agrícola,entomologia agrícola
Biotecnología,fungal genetics,genética de hongos,genética de fungos
Biotecnología,population genetics,genética de poblaciones,genética populacional
Salud,intracellular delivery,entrega intracelular,entrega intracelular
Biotecnología,rice genetics,genética del arroz,genética do arroz
Biotecnología,molecular genetics,genética molecular,genética molecular
Agro,agricultural plants,plantas agricolas,plantas agrícolas
Biotecnología,genomics,genómica,genômica
Biotecnología,genotyping,genotipado,genotipagem
Biotecnología,genotyping by sequencing,genotipado por secuenciación,genotipagem por sequenciamento
Biotecnología,enzymatic hydrolysis,hidrólisis encimática,hidrólise enzimática
Biotecnología,filamentous fungi,hongos filamentosos,fungos filamentosos
Biotecnología,molecular identification,identificación molecular,identificação molecular
Transversal,scientific writing,escritura científica,redação científica
Transversal,electromagnetic spectrum,espectro electromagnético,espectro eletromagnético
Transversal,spectrophotometry,espectrofotometría,espectrofotometria
Biotecnología,biomolecular engineering,ingeniería biomolecular,engenharia biomolecular
Biotecnología,biochemical engineering,ingeniería bioquímica,engenharia bioquímica
Biotecnología,biotechnological engineering,ingeniería biotecnológica,engenharia biotecnológica
Transversal,spectroscopy,espectroscopia,espectroscopia
Agro,agricultural statistics,estadísticas agrícolas,estatísticas agrícolas
Transversal,sustainability standards and certification,estándares y certificación de sostenibilidad.,padrões e certificação de sustentabilidade
Piscícola,aquaculture ponds ,estanques de acuicultura ,lagoas de aquicultura 
Residuos,manure aquaculture ponds,estanques de acuicultura con estiércol,lagoas de aquicultura de esterco
Residuos,pond manuring in aquaculture,estiércol de estanques en acuicultura,adubação de tanques em aquicultura
Transversal,macro-regional strategy,estrategia macrorregional,estratégia macrorregional
Piscícola,aquaculture strategies developing,estrategias de acuicultura en desarrollo,estratégias de aquicultura em desenvolvimento
Agro,irrigation strategies,estrategias de riego,estratégias de irrigação
