sectors,keyword_pt
Biotecnología,cultura de células bacterianas
Biotecnología,cultura axênica
Salud,Ciência biomédica
Transversal,ciência dos biomateriais
Agro,Ciência gastronômica
Salud,Ciência médica
Biotecnología,dados botânicos
Biotecnología,diagnóstico molecular
Transversal,circularidade
Transversal,círculos de sustentabilidade
Biotecnología,dinâmica molecular
Biotecnología,projeto de biorreator
Salud,citotoxicidade
Biotecnología,projeto racional
Biotecnología,diversidade genética
Biotecnología,ecobiotecnologia
Transversal,Codificação de 2 bases
Biotecnología,ecologia comportamental
Biotecnología,ecologia do fitoplâncton
Energía,combustível biodiesel
Energía,combustível neutro em carbono
Agro,alimento funcional
Piscícola,comida de peixe
Biotecnología,economia de base biológica
Agro,composição de produtos alimentares
Transversal,composição química do açúcar
Agro,composto
Biotecnología,edição de escolha
Transversal,computação biológica
Transversal,comunidade sustentável
Biotecnología,edição genética
Biotecnología,edição do gene crispr
Salud,conjugado anticorpo-droga
Salud,conjugado anticorpo-oligonucleotídeo
Transversal,conservação
Transversal,conservação biológica
Forestal,conservação florestal
Agro,conservação de culturas
Transversal,conservação da Biodiversidade
Agro,preservação de alimentos
Transversal,conservação de recursos naturais
Transversal,conservação da Vida Selvagem
Agro,conservação do solo
Agro,conservação do solo e da água
Transversal,conservação da Natureza
Turismo,conservação da Natureza
Biotecnología,edição do genoma
Transversal,construção sustentável
Transversal,consumo verde
Transversal,poluição ambiental
Biotecnología,edição principal
Agro,controle biológico
Agro,taxonomia vegetal
Transversal,controle do processo
Transversal,conversão de biomassa
Biotecnología,construção verde
Transversal,corredor de ciências biológicas de michigan
Agro,vírus de planta
Transversal,crescimento limpo
Agro,criação de animais
Agro,criação de mutação
Agro,reprodução selecionada
Biotecnología,eletrocinética de carga induzida
Biotecnología,eletroforese
Biotecnología,eletroforese em gel
Biotecnología,eletroporação
Salud,corpos de inclusão
Transversal,questões de conservação
Agro,cultivar culturas para biomassa
Agro,cultivar colheitas para biomassa
Biotecnología,embriogênese somática
Transversal,Cultivo de células 3D por levitação magnética
Biotecnología,empalação
Agro,cultivo de larvas
Transversal,cultura microbiana
Agro,cultivo de culturas para biomassa
Transversal,culturas alimentares microbianas
Agro,colheitas industriais
Agro,culturas geneticamente modificadas
Agro,culturas que crescem para biomassa
Biotecnología,ensaios in vitro
Biotecnología,ensaios in vivo
Biotecnología,enzima de restrição
Transversal,de base biológica
Salud,dendrossomo
Biotecnología,enzimas
Agro,desenvolver políticas agrícolas
Biotecnología,enzimologia
Agro,desenvolvimento agrícola
Agro,desenvolvimento de biopesticida
Transversal,desenvolvimento de bioprocessos
Transversal,desenvolvimento de bioprodutos
Transversal,desenvolvimento de bioprodutos
Transversal,desenvolvimento ecoindustrial
Transversal,desenvolvimento ecologicamente sustentável
Transversal,desenvolvimento económico sustentável
Salud,desenvolvimento farmacêutico
Transversal,desenvolvimento Regional
Transversal,desenvolvimento regional sustentável
Transversal,desenvolvimento Rural
Transversal,desenvolvimento rural sustentável
Transversal,desenvolvimento sistêmico
Transversal,desenvolvimento sustentável
Salud,descoberta de leads baseada em fragmentos
Residuos,desperdício de comida
Residuos,detritos marinhos
Residuos,desperdício de perda de alimentos
Residuos,desperdício de seda
Transversal,destilação
Transversal,determinar a otimização do processo
Transversal,dívida de efeito estufa
Biotecnología,epigenômica
Energía,digestão anaeróbica
Energía,digestor anaeróbico
Biotecnología,escala de piloto
Transversal,dinâmica estrutural
Biotecnología,espectrometria
Biotecnología,espectrometria de massa
Transversal,design de engenharia
Transversal,design de produto 
Transversal,projetar sistema de biomassa
Biotecnología,espectrometria de massa de proteínas
Piscícola,diversidade de algas
Transversal,diversidade de ecossistemas
Transversal,diversidade de espécies
Biotecnología,etnobotânica
Transversal,diversidade microbiana
Agro,diversificação de culturas 
Biotecnología,avaliação de impacto ambiental
Transversal,duocarmicina
Biotecnología,expressão proteica
Transversal,ecologia
Piscícola,ecologia aquática
Transversal,ecologia comunitária
Transversal,ecologia do ecossistema
Transversal,ecologia fúngica
Transversal,ecologia da conservação
Piscícola,ecologia dos peixes
Biotecnología,expressão de proteína recombinante
Biotecnología,expressão heteróloga
Forestal,ecologia florestal
Transversal,ecologia microbiana
Agro,plantas de baga
Transversal,econometria aplicada
Agro,economia agrícola
Transversal,Economia aplicada
Transversal,economia de baixo carbono
Transversal,economia circular
Biotecnología,Extração
Transversal,economia da agricultura
Transversal,economia ecológica
Biotecnología,extração de ácido graxo
Transversal,ecourbanismo
Biotecnología,extração de DNA
Biotecnología,extração de compostos bioativos
Biotecnología,extrair ácido graxo
Transversal,edição genética saltadora
Biotecnología,extremófilos
Biotecnología,fermentação
Biotecnología,fermentação em escala de laboratório
Biotecnología,fermentação em escala de produção
Transversal,efeito rebote na conservação
Energía,eficiência energética
Agro,eficiência pecuária
Biotecnología,fermentação de levedura
Agro,Melhoria do solo 
Turismo,Turismo sustentável
Residuos,elaboração de processos de gestão de resíduos
Biotecnología,fermentação em estado sólido
Biotecnología,fermentação industrial
Biotecnología,fitoquímica
Energía,eletrohidrogênese
Energía,eletrometanogênese
Biotecnología,fitorremediação
Transversal,eletrossíntese microbiana
Biotecnología,formulação de ração
Residuos,eliminação de resíduos bioquímicos
Biotecnología,fosfoproteômica
Energía,emissão líquida zero de carbono
Biotecnología,fotobiologia
Transversal,empregos verdes
Biotecnología,fotofísica
Biotecnología,fotossíntese
Transversal,endonuclease i-scei codificada por íntron
Energía,energia de biogás
Energía,energia de biogás
Energía,energia limpa
Energía,energia para o desenvolvimento sustentável
Energía,energia Sustentável
Biotecnología,fungicultura
Biotecnología,fusão somática
Biotecnología,genética
Biotecnología,genética quantitativa
Transversal,entomologia
Agro,entomologia agrícola
Biotecnología,genética de fungos
Biotecnología,genética populacional
Salud,entrega intracelular
Biotecnología,genética do arroz
Biotecnología,genética molecular
Agro,plantas agrícolas
Biotecnología,genômica
Biotecnología,genotipagem
Biotecnología,genotipagem por sequenciamento
Biotecnología,hidrólise enzimática
Biotecnología,fungos filamentosos
Biotecnología,identificação molecular
Transversal,redação científica
Transversal,espectro eletromagnético
Transversal,espectrofotometria
Biotecnología,engenharia biomolecular
Biotecnología,engenharia bioquímica
Biotecnología,engenharia biotecnológica
Transversal,espectroscopia
Agro,estatísticas agrícolas
Transversal,padrões e certificação de sustentabilidade
Piscícola,lagoas de aquicultura 
Residuos,lagoas de aquicultura de esterco
Residuos,adubação de tanques em aquicultura
Transversal,estratégia macrorregional
Piscícola,estratégias de aquicultura em desenvolvimento
Agro,estratégias de irrigação
Piscícola,estratégias para a aquicultura
Biotecnología,engenharia de biomateriais
Transversal,estrutura proteica
Biotecnología,engenharia de proteínas
Energía,estudo de viabilidade sobre energia de biogás
Transversal,estudos ambientais
Biotecnología,engenharia de reação bioquímica
Biotecnología,Engenharia genética
Transversal,avaliação impactante
Biotecnología,engenharia metabólica
Transversal,avaliação da biodiversidade
Piscícola,avaliação da taxa de crescimento de espécies de peixes cultivadas
Piscícola,avaliando amostras de peixes para diagnóstico
Transversal,avaliação do ciclo de vida
Agro,comportamento alimentar das larvas avaliando
Piscícola,avaliação do impacto ambiental da aquicultura
Transversal,avaliar o desempenho do sistema
Transversal,avaliar custos de produção
Biotecnología,inoculantes biológicos
Biotecnología,expressão genetica
Biotecnología,lipidômica
Biotecnología,lipoproteínas
Biotecnología,mamíferos
Biotecnología,marcadores moleculares
Biotecnología,materiais ecológicos
Biotecnología,materiais nanoestruturados
Biotecnología,materiais poliméricos
Agro,mamona
Biotecnología,melhoramento molecular
Salud,farmacêutica
Salud,farmacocinética
Salud,farmacogenética
Salud,farmacogenômica
Salud,farmacognosia
Agro,plantas leguminosas
Biotecnología,metabólitos secundários
Biotecnología,metabolômica
Biotecnología,metagenômica
Biotecnología,micorremediação
Biotecnología,microbiologia geral
Biotecnología,microbiologia molecular
Transversal,fermentação microbiana
Agro,fertilidade do solo
Agro,fertilidade do solo
Agro,fertilizantes
Biotecnología,microfluídica
Agro,ficotecnologia
Transversal,financiamento misto
Biotecnología,microfluídica digital
Agro,fitorremediação
Biotecnología,microinjeção
Agro,fitotecnologia
Transversal,flavonóides
Biotecnología,microorganismos
Biotecnología,microtransportador
Salud,formulação farmacêutica
Biotecnología,micropropagação
Biotecnología,Microscópio Fluorescente
Biotecnología,modelagem cinética
Biotecnología,nanobiotecnologia
Biotecnología,nanociência
Biotecnología,nanofabricação
Biotecnología,nanomateriais
Biotecnología,nanoneurônica
Agro,genética animal
Biotecnología,nanopartículas
Biotecnología,nanotecnologia
Biotecnología,ômicas
Biotecnología,ONGs
Biotecnología,pcr
Biotecnología,polímeros
Salud,geneexpert infinito
Biotecnología,polímeros biodegradáveis
Biotecnología,precipitação de proteínas
Agro,genômica animal
Biotecnología,preparação enzimática
Biotecnología,probióticos
Biotecnología,procedimentos de secagem
Biotecnología,processamento a montante
Transversal,gestão ambiental
Transversal,gestão ambiental
Forestal,gestão florestal
Transversal,gestão de engenharia
Transversal,gestão da cadeia de abastecimento
Transversal,gestão da Qualidade
Transversal,gestão da inovação
Transversal,Gerenciamento de Produção
Transversal,Gerenciamento de Produção
Transversal,gestão de sustentabilidade
Transversal,gestão de laboratório
Salud,gestão de nutrientes
Transversal,gestão de recursos hídricos
Transversal,gestão de recursos naturais
Residuos,gestão de resíduos
Residuos,gestão de resíduos
Transversal,gestão de abastecimento sustentável
Transversal,gestão de rendimento
Piscícola,biologia dos peixes
Piscícola,gestão da pesca
Piscícola,métodos de colheita de peixe
Transversal,Gestão sustentável
Transversal,gestão sustentável de recursos
Piscícola,gerenciar a pesca usando conhecimento biológico
Transversal,governança ambiental
Agro,fazenda saudável
Transversal,habilidades de laboratório
Transversal,herpetologia
Biotecnología,processamento a jusante
Biotecnología,processamento enzimático
Transversal,fungos
Biotecnología,processamento enzimático
Agro,horticultura
Transversal,pegada ambiental do produto
Biotecnología,processo de fermentação
Biotecnología,processos bioquímicos
Piscícola,identificar o impacto ambiental de atividades aquícolas específicas
Piscícola,identificar o impacto de atividades aquícolas específicas
Agro,identificando características das culturas
Biotecnología,produção de proteína
Transversal,impacto do aquecimento global
Transversal,impacto ambiental
Biotecnología,produtos bioquímicos
Transversal,indústrias sustentáveis
Piscícola,relatando a produção de peixes colhidos
Transversal,relatórios de sustentabilidade
Biotecnología,proteína da célula hospedeira
Biotecnología,proteína unicelular
Biotecnología,proteínas recombinantes
Transversal,engenharia de águas residuais
Agro,Engenharia de Alimentos
Biotecnología,proteômica
Transversal,engenharia de bioprocessos
Transversal,engenharia de bioprodutos
Transversal,engenheiro de design
Transversal,Engenharia de Produção
Transversal,Engenharia de produto
Biotecnología,testes de biomateriais
Biotecnología,testes genômicos
Salud,engenharia de tecidos
Biotecnología,purificação de proteínas
Biotecnología,química bioinorgânica
Transversal,engenheiro químico 
Biotecnología,reação em cadeia da polimerase
Salud,imunotriagem
Salud,imunoterapia contra câncer
Transversal,inovação empresarial
Biotecnología,reação em cadeia da polimerase (pcr)
Energía,instalações de biogás
Energía,instalações de biomassa
Salud,instrumentação biomédica
Transversal,instrumentação de química analítica
Agro,intensificação sustentável
Biotecnología,reação em cadeia da polimerase com transcrição reversa
Biotecnología,reação em cadeia da polimerase em tempo real (qpcr)
Transversal,interações microbianas
Transversal,investimento estratégico sustentável
Transversal,investimento rural
Transversal,investigação
Transversal,investigação laboratorial
Transversal,pesquisa rural
Transversal,pesquisa e desenvolvimento
Biotecnología,reatores bioquímicos
Transversal,gerenciamento de operações
Biotecnología,sequenciamento de DNA
Biotecnología,sequenciamento do genoma
Agro,produção de alimentos
Agro,produção agrícola
Agro,rotação de colheitas
Salud,laboratório médico
Biotecnología,sonoporação
Agro,cultivo sustentável
Biotecnología,subclonagem
Biotecnología,técnicas básicas de biologia molecular
Biotecnología,técnicas biotecnológicas
Biotecnología,técnicas de biologia molecular
Biotecnología,técnicas baseadas em laboratório
Biotecnología,técnicas in vitro
Biotecnología,tecnologia de fermentação
Biotecnología,tecnologia de reprodução assistida
Biotecnología,tecnologia pós-colheita
Biotecnología,rna terapêutica
Biotecnología,terapia bacteriana
Biotecnología,termodinâmica de ácidos nucleicos
Biotecnología,transcriptômica
Biotecnología,transcriptômica unicelular
Biotecnología,transfecção
Biotecnología,transferir DNA
Biotecnología,transposão
Biotecnología,processos biocatalíticos
Biotecnología,vetor de expressão
Residuos,pasta de carvão
Agro,métodos agrícolas
Transversal,macroeconomia
Biotecnología,xenobiologia
Agro,manejo de culturas
Residuos,manipulação de resíduos bioquímicos
Salud,gestão de saúde
Salud,gestão de saúde 
Forestal,gestão florestal sustentável
Agro,gestão de gado
Agro,gestão integrada de doenças
Agro,controle de pragas integrado
Transversal,manutenção de Equipamento
Piscícola,manutenção de lagoa de aquicultura
Agro,amendoim
Biotecnología,sequenciamento
Biotecnología,DNA de Hachimoji
Biotecnología,ligase de DNA
Transversal,material bioinstrutivo
Biotecnología,amplificação da polimerase recombinase
Biotecnología,amplificação dependente de helicase
Biotecnología,análise de espaçador intergênico ribossômico
Transversal,matlab
Biotecnología,analisar culturas celulares
Biotecnología,análogo de aminoácido fotorreativo
Transversal,mecanismos de produção de amido
Salud,medicamentos especiais
Salud,medicina de precisão
Salud,medicina personalizada
Salud,medicina viva
Transversal,medição de sustentabilidade
Forestal,medições florestais 
Biotecnología,rna longo não codificante
Energía,medidor de biogás
Energía,medidor de biogás
Energía,medidor de biogás operacional
Transversal,meios de subsistência sustentáveis
Biotecnología,bactérias que direcionam tumores
Transversal,otimização
Biotecnología,biblioteca química codificada por DNA
Biotecnología,biochip
Biotecnología,biorreator de musgo
Agro,plantas pesticidas
Energía,mercado de energia
Transversal,mercados sustentáveis
Biotecnología,biossensor fluorescente de glicose
Biotecnología,química-seq
Transversal,metagenia
Biotecnología,sequenciamento de chips
Transversal,metas de desenvolvimento sustentável
Agro,cultivo de plantas
Biotecnología,ta clonando
Transversal,métodos microbiológicos
Transversal,métricas sustentáveis
Transversal,micologia ambiental
Biotecnología,coeficiente síncrono de alteração de arrasto
Transversal,microalgas
Biotecnología,condensação de DNA
Transversal,microbiologia
Piscícola,microbiologia aquática
Agro,microbiologia agrícola
Transversal,microbiologia ambiental
Transversal,microbiologia aplicada
Salud,microbiologia clínica
Agro,microbiologia do solo
Biotecnología,cultura em lote alimentado
Biotecnología,fusão de alta resolução
Salud,microfisiometria
Biotecnología,desenvolver processos biocatalíticos
Biotecnología,dímero primário
Biotecnología,gotejamento-seq
Salud,micronutrição
Biotecnología,knock-in genético
Transversal,microorganismos patogênicos
Transversal,microesferas 
Biotecnología,eletrotransferência genética
Biotecnología,endonuclease homing
Biotecnología,ensaio de cultura celular
Transversal,microsustentabilidade
Transversal,mineração de dados e descoberta de conhecimento
Biotecnología,ensaio de ligação de seleção e amplificação
Transversal,mitigação das alterações climáticas
Biotecnología,ambiente virtual integrado de alto desempenho
Transversal,modelagem de bioprocessos
Transversal,modelagem de sistema
Transversal,modelagem econômica
Transversal,modelagem e simulação
Transversal,modelo de negócios inclusivo
Transversal,monitoramento da biodiversidade
Transversal,monitoramento de parâmetros ambientais
Salud,morfolino
Piscícola,amostras de peixes para diagnóstico
Biotecnología,entrega de genes
Biotecnología,enzima de corte raro
Biotecnología,enzima cortante
Biotecnología,equipamento de análise bioquímica
Biotecnología,equivalência substancial
Biotecnología,estreptâmero
Biotecnología,estudo de viabilidade em sistema de biomassa
Biotecnología,tag-strep
Biotecnología,fora da fabricação de compósitos em autoclave
Biotecnología,fermentação em escala de produção
Transversal,negócio sustentável
Biotecnología,fertilizantes nitrogenados
Biotecnología,fotobiotina
Biotecnología,genômica de cores
Biotecnología,genotipagem snp
Salud,nutrição
Piscícola,nutrição da aquicultura
Agro,nutrição animal
Agro,doenças de plantas
Agro,Fisiologia vegetal
Agro,nutriente do solo
Transversal,nutrigenômica
Transversal,objetivo de desenvolvimento sustentável 1
Transversal,objetivo de desenvolvimento sustentável 10
Transversal,objetivo de desenvolvimento sustentável 11
Transversal,objetivo de desenvolvimento sustentável 12
Transversal,objetivo de desenvolvimento sustentável 13
Transversal,objetivo de desenvolvimento sustentável 14
Transversal,objetivo de desenvolvimento sustentável 15
Transversal,objetivo de desenvolvimento sustentável 16
Transversal,objetivo de desenvolvimento sustentável 17
Transversal,objetivo de desenvolvimento sustentável 2
Transversal,objetivo de desenvolvimento sustentável 3
Transversal,objetivo de desenvolvimento sustentável 4
Transversal,objetivo de desenvolvimento sustentável 5
Transversal,objetivo de desenvolvimento sustentável 6
Transversal,objetivo de desenvolvimento sustentável 7
Transversal,objetivo de desenvolvimento sustentável 8
Transversal,objetivo de desenvolvimento sustentável 9
Biotecnología,hibridoma de coelho
Salud,oncogenômica
Biotecnología,indicador de tensão geneticamente codificado
Agro,operações agrícolas
Transversal,operações de produção
Salud,operações de saúde
Transversal,operações de segurança
Transversal,operar em diferentes situações climáticas
Agro,vegetais 
Transversal,otimização de bioprocessos
Transversal,processo otimizado
Transversal,otimização de projeto
Transversal,optoeletrowetting
Biotecnología,inibidor de tnf
Biotecnología,interação proteína-dna
Biotecnología,interação proteína-proteína
Turismo,herança natural
Biotecnología,isosquizômero
Biotecnología,nocaute genético
Biotecnología,laboratório molecular
Biotecnología,ligação circular split-intein de peptídeos e proteínas
Biotecnología,ligante inteligente
Biotecnología,lista de locais de corte de endonuclease homing
Agro,permacultura
Piscícola,pesca
Piscícola,pesca aquícola
Agro,Farmacêutica (genética)
Biotecnología,marcação de isótopos estáveis ​​​​por aminoácidos em cultura celular
Biotecnología,marcador de tamanho de peso molecular
Agro,debulhador de leguminosas
Forestal,planos de manejo florestal
Biotecnología,melhoramento de plantas 
Biotecnología,bioquímica vegetal
Forestal,população de árvores
Energía,pobreza energética
Agro,policulturas
Biotecnología,mecânica da bicamada lipídica
Biotecnología,mecanismos de fermentação dos alimentos
Biotecnología,medidas de fermentação de alimentos
Transversal,politica ambiental
Agro,políticas agrícolas
Transversal,políticas de gestão sustentável
Biotecnología,meganuclease
Transversal,Preparação de amostra
Biotecnología,métodos de produção de microalgas
Transversal,prevenção de poluição
Transversal,previsões económicas
Transversal,princípio da substituição 
Biotecnología,microarranjo celular
Agro,princípios de produção agrícola sustentável
Biotecnología,minigene
Biotecnología,musgo nocauteador
Biotecnología,mutanome
Biotecnología,organismos acumuladores de polifosfato
Agro,processamento de comida
Transversal,processamento de biomassa
Salud,processamento de sinal biomédico
Biotecnología,direcionamento de folato
Biotecnología,display crispr
Biotecnología,pcr dependente de rnase h
Transversal,processo de desenvolvimento
Biotecnología,PCR a frio
Biotecnología,cola molecular
Biotecnología,peguilação
Biotecnología,braçadeira de DNA
Biotecnología,pirosequenciamento
Residuos,processos de gestão de resíduos
Agro,processos de produção de alimentos
Transversal,processos de produção de amido
Agro,produção agrícola sustentável
Agro,produção animal
Energía,produção biológica de hidrogênio
Energía,produção de biocombustíveis
Energía,produção de bioetanol
Energía,produção de biohidrogênio
Energía,produção de energia de biogás
Energía,produção de etanol
Transversal,produção de microalgas
Biotecnología,Polimorfismo de nucleotídeo único
Agro,produtividade pecuária
Transversal,produto interno bruto verde
Biotecnología,princípios de fermentação de levedura
Residuos,produtos de combustão de carvão
Biotecnología,procedimentos de fermentação de alimentos
Biotecnología,sistema de melhoramento de plantas
Transversal,propriedade intelectual
Agro,Proteção de Cultivos
Transversal,proteção da biodiversidade
Biotecnología,processo de fermentação do vinho
Biotecnología,processos de fermentação de alimentos
Transversal,proteínas
Biotecnología,promotor tático
Salud,proteólise visando quimera
Biotecnología,teste rápido de antígeno
Salud,projeto de embrião visível
Salud,"Testando em laboratório ""ou"" Teste experimental"
Salud,teste genético
Biotecnología,pulmão em um chip
Biotecnología,realizar análise de cultura celular
Salud,testes de diagnóstico
Biotecnología,realizar um estudo de viabilidade em sistemas de biomassa
Biotecnología,recombinação específica do local
Biotecnología,sequenciamento de célula única
Biotecnología,sequenciamento sólido abi
Biotecnología,sequenciamento de terceira geração
Transversal,química
Transversal,química Aplicada
Biotecnología,sequenciamento completo do genoma
Transversal,química de produtos naturais
Transversal,química de proteínas
Transversal,química natural
Biotecnología,sequenciamento do genoma
Biotecnología,sequenciamento de fase sólida
Biotecnología,sequenciamento fluorescente de molécula única
Biotecnología,sequenciamento de semicondutores iônicos
Biotecnología,separação de DNA por adsorção de sílica
Biotecnología,síntese orgânica modelada por DNA
Biotecnología,sistema de desidratação a vácuo
Agro,reciclagem de terras
Agro,coleta de colheita
Biotecnología,sistema de informação genética expandido artificialmente
Residuos,desperdiçar recursos
Transversal,reduzir o impacto ambiental na área circundante
Residuos,regulamentação de resíduos
Transversal,remediação ambiental
Agro,rendimentos das colheitas
Transversal,reflorestamento
Agro,reprodução animal
Residuos,resíduos biodegradáveis
Residuos,resíduos bioquímicos
Residuos,resíduos de ração animal
Residuos,resíduos da pesca
Residuos,resíduos metabólicos
Transversal,resistência à mudança sistêmica
Transversal,responsabilidade social corporativa
Agro,irrigação do solo
Transversal,secagem por pulverização
Biotecnología,sorriso-seq
Biotecnología,subtelômero
Biotecnología,supressão subtrativa hibridização
Biotecnología,técnicas de biorremediação
Biotecnología,técnicas de produção de microalgas
Biotecnología,terapia celular tk
Biotecnología,terapia de genes
